stn       name                                 parameter        data_source                                        lonlat                   coord            elev
SIA       Segl-Maria                           tre200m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           tre005mn         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           hns000m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           rre150m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           ure200mn         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           ure200m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           hto000m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           su2000m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           sremaxmv         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           fkl010m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           tso010m0         unknown                                            9.46'/46.26'             778574/144976    1804
SIO       Sion                                 pva200m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 ets150m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 nto000m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 gre000m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 prestam0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 tre200mx         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 tre200mn         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 tre200m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 tre005mn         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 hns000m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 rre150m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 ure200mn         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 ure200m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 hto000m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 su2000m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 sremaxmv         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 fkl010m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
SIO       Sion                                 tso010m0         MeteoSchweiz                                       7.20'/46.13'             591633/118583    482
STG       St_Gallen                           pva200m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           ets150m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           nto000m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           gre000m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           prestam0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           tre200mx         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           tre200mn         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           tre200m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           tre005mn         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           hns000m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           rre150m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           ure200mn         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           ure200m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           hto000m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           su2000m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           sremaxmv         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           fkl010m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
STG       St_Gallen                           tso010m0         MeteoSchweiz                                       9.24'/47.26'             747865/254588    775
SAE       Saentis                               pva200m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               ets150m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               nto000m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               gre000m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               prestam0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               tre200mx         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               tre200mn         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               tre200m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               tre005mn         unknown                                            9.21'/47.15'             744187/234920    2501
SAE       Saentis                               hns000m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               rre150m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               ure200mn         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               ure200m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               hto000m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               su2000m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               sremaxmv         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               fkl010m0         MeteoSchweiz                                       9.21'/47.15'             744187/234920    2501
SAE       Saentis                               tso010m0         unknown                                            9.21'/47.15'             744187/234920    2501
SMA       Zuerich/Fluntern                    pva200m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    ets150m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    nto000m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    gre000m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    prestam0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    tre200mx         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    tre200mn         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    tre200m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    tre005mn         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    hns000m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    rre150m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    ure200mn         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    ure200m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    hto000m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    su2000m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    sremaxmv         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    fkl010m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
SMA       Zuerich/Fluntern                    tso010m0         MeteoSchweiz                                       8.34'/47.23'             685116/248065    555
