stn       name                                 parameter        data_source                                        lonlat                   coord            elev
DAV       Davos                                tre200mn         MeteoSchweiz                                       9.51'/46.49'             783518/187458    1594
DAV       Davos                                tre200m0         MeteoSchweiz                                       9.51'/46.49'             783518/187458    1594
DAV       Davos                                tre005mn         MeteoSchweiz                                       9.51'/46.49'             783518/187458    1594
DAV       Davos                                hns000m0         SLF                                                9.51'/46.49'             783518/187458    1594
DAV       Davos                                rre150m0         MeteoSchweiz                                       9.51'/46.49'             783518/187458    1594
DAV       Davos                                ure200mn         MeteoSchweiz                                       9.51'/46.49'             783518/187458    1594
DAV       Davos                                ure200m0         MeteoSchweiz                                       9.51'/46.49'             783518/187458    1594
DAV       Davos                                hto000m0         SLF                                                9.51'/46.49'             783518/187458    1594
DAV       Davos                                su2000m0         MeteoSchweiz                                       9.51'/46.49'             783518/187458    1594
DAV       Davos                                sremaxmv         MeteoSchweiz                                       9.51'/46.49'             783518/187458    1594
DAV       Davos                                fkl010m0         MeteoSchweiz                                       9.51'/46.49'             783518/187458    1594
DAV       Davos                                tso010m0         MeteoSchweiz                                       9.51'/46.49'             783518/187458    1594
ENG       Engelberg                            pva200m0         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            ets150m0         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            nto000m0         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            gre000m0         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            prestam0         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            tre200mx         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            tre200mn         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            tre200m0         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            tre005mn         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            hns000m0         SLF                                                8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            rre150m0         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            ure200mn         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            ure200m0         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            hto000m0         SLF                                                8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            su2000m0         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            sremaxmv         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            fkl010m0         MeteoSchweiz                                       8.25'/46.49'             674160/186069    1035
ENG       Engelberg                            tso010m0         unknown                                            8.25'/46.49'             674160/186069    1035
GVE       Geneve/Cointrin                    pva200m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    ets150m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    nto000m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    gre000m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    prestam0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    tre200mx         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    tre200mn         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    tre200m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    tre005mn         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    hns000m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    rre150m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    ure200mn         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    ure200m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    hto000m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    su2000m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    sremaxmv         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    fkl010m0         MeteoSchweiz                                       6.08'/46.15'             498904/122631    410
GVE       Geneve/Cointrin                    tso010m0         unknown                                            6.08'/46.15'             498904/122631    410
GRH       Grimsel_Hospiz                       pva200m0         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       ets150m0         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       nto000m0         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       gre000m0         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       prestam0         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       tre200mx         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       tre200mn         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       tre200m0         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       tre005mn         unknown                                            8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       hns000m0         SLF                                                8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       rre150m0         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       ure200mn         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       ure200m0         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       hto000m0         SLF                                                8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       su2000m0         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       sremaxmv         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       fkl010m0         MeteoSchweiz                                       8.20'/46.34'             668583/158215    1980
GRH       Grimsel_Hospiz                       tso010m0         unknown                                            8.20'/46.34'             668583/158215    1980
JUN       Jungfraujoch                         pva200m0         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         ets150m0         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         nto000m0         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         gre000m0         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         prestam0         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         tre200mx         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
