stn;time;pva200m0;ets150m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;rre150m0;ure200m0;su2000m0;sremaxmv;nto000m0;hns000m0;hto000m0;ure200mn;fkl010m0
GRH;200001;2.4;8.11;68;803.9;2.5;-17.7;-5.7;182.1;60.4;89.4;62;39;136;205;-;5.6
GRH;200002;3.3;3.98;106;804.4;4.3;-13.5;-4.2;319.9;77.1;79.2;39;67;299;299;-;6.2
GRH;200003;3.8;5.34;161;801.9;4.8;-11.9;-2.9;263.8;77.1;100.2;35;72;282;429;-;5.9
GRH;200004;4.6;5.53;191;795.7;9.5;-8.6;0.3;115.7;73.9;70.8;23;75;81;425;-;6.7
GRH;200005;6.9;14.51;226;804.2;14.9;-2.9;5.8;83.0;76.0;143.5;41;68;13;225;-;5.6
GRH;200006;8.6;74.22;234;808.7;20.0;-0.8;9.3;86.2;75.2;171.3;48;60;3;17;-;5.7
GRH;200007;8.5;63.88;204;803.3;18.3;-1.2;7.4;201.2;83.4;136.8;38;70;11;0;-;4.9
GRH;200008;9.4;106.60;200;808.5;22.4;4.4;11.1;115.7;73.5;186.5;56;54;0;0;-;5.0
GRH;200009;7.7;64.85;146;804.4;17.9;-0.7;7.7;166.7;74.7;151.0;52;56;10;1;-;5.1
GRH;200010;6.1;38.78;78;802.5;12.6;-4.4;3.6;152.2;78.3;81.6;33;70;25;0;-;5.6
GRH;200011;4.1;6.81;54;795.6;8.7;-8.6;-1.7;189.9;77.0;37.3;24;67;209;58;-;6.1
GRH;200012;3.6;7.58;51;797.7;6.9;-15.6;-2.0;69.5;66.1;52.4;41;60;89;94;-;5.9
GRH;200101;3.0;4.82;60;796.2;3.3;-14.0;-5.0;69.3;68.3;53.8;37;62;92;149;-;6.0
GRH;200102;3.1;5.55;109;799.9;5.8;-16.4;-4.9;151.5;70.6;93.5;47;61;225;212;-;5.7
GRH;200103;4.7;2.68;146;793.7;10.3;-12.9;-1.2;209.8;82.8;54.1;19;83;254;261;-;5.9
GRH;200104;4.4;3.54;202;797.5;7.6;-9.7;-2.2;293.7;83.5;53.0;17;84;346;302;-;5.9
GRH;200105;7.0;23.90;244;803.7;17.9;-2.1;6.2;56.0;74.2;159.7;45;65;0;163;-;5.3
GRH;200106;7.5;69.85;233;805.3;21.7;-4.4;6.5;238.1;78.3;171.2;48;61;54;4;-;4.9
GRH;200107;9.5;84.32;214;806.0;19.6;1.0;9.9;106.6;78.0;164.7;46;60;0;0;-;5.2
GRH;200108;9.7;109.84;202;807.9;21.2;2.5;11.4;147.7;74.0;193.2;58;51;0;0;-;5.0
GRH;200109;6.5;27.75;121;801.8;14.8;-3.5;3.1;255.8;85.3;82.5;28;80;75;7;-;5.0
GRH;200110;6.5;42.08;111;807.7;19.1;-1.8;7.5;66.0;64.8;153.5;63;42;5;0;-;5.3
GRH;200111;3.9;12.22;63;802.5;10.6;-11.8;-1.8;284.8;74.4;73.7;48;58;208;28;-;4.8
GRH;200112;2.6;10.28;53;800.6;5.2;-19.3;-6.3;146.4;63.9;71.6;56;47;144;104;-;4.3
GRH;200201;2.5;10.02;70;806.4;6.7;-15.2;-3.5;24.9;51.9;106.4;74;33;26;142;-;5.0
GRH;200202;3.9;3.00;96;800.3;5.5;-14.6;-3.0;182.4;79.7;54.6;28;73;198;177;-;5.6
GRH;200203;3.8;8.67;175;801.5;6.5;-11.8;-1.3;193.9;67.7;156.2;55;56;124;241;-;5.7
GRH;200204;4.6;6.67;217;798.7;9.8;-8.3;-0.1;85.8;75.6;121.3;39;68;63;203;-;4.7
GRH;200205;6.2;16.77;223;801.7;14.4;-5.3;3.7;315.3;78.1;121.0;34;70;180;117;-;5.0
GRH;200206;8.6;92.65;250;806.8;22.9;1.2;10.2;153.1;71.3;192.6;54;58;0;1;-;4.7
GRH;200207;9.6;68.07;197;805.3;18.8;1.4;9.5;194.5;81.8;141.2;39;68;0;0;-;4.9
GRH;200208;9.3;62.09;168;804.9;18.1;-0.1;9.0;159.2;82.3;127.4;38;70;0;0;-;4.8
GRH;200209;7.4;36.05;135;804.2;14.5;-5.8;5.1;169.5;83.5;101.9;35;74;61;8;-;4.5
GRH;200210;5.6;25.86;95;801.7;11.9;-4.5;3.4;126.2;73.1;93.3;38;70;48;5;-;5.3
GRH;200211;5.0;5.41;46;796.6;11.0;-8.3;-0.6;416.8;84.7;27.0;17;81;335;89;-;5.7
GRH;200212;3.9;5.87;52;798.7;5.5;-9.6;-2.7;159.2;76.1;49.2;39;63;137;161;-;5.3
GRH;200301;3.0;4.31;64;796.3;3.8;-20.9;-6.8;244.5;76.6;60.3;42;60;247;242;-;5.0
GRH;200302;1.9;9.96;132;798.7;0.7;-21.3;-8.5;168.6;58.0;154.9;79;30;168;368;-;4.8
GRH;200303;3.4;11.81;204;805.0;7.5;-10.0;-1.4;49.4;60.9;218.8;76;46;44;327;-;4.0
GRH;200304;4.5;8.57;229;800.0;9.6;-13.9;-0.6;114.1;74.8;155.8;50;59;89;284;-;5.2
GRH;200305;6.7;19.14;227;805.7;16.1;-4.7;5.7;126.9;73.9;141.6;40;67;50;103;-;4.8
GRH;200306;9.9;102.28;278;808.3;22.9;5.7;13.0;50.4;67.5;231.0;65;48;0;0;-;4.6
GRH;200307;9.9;99.31;235;807.4;22.2;2.2;10.9;123.2;76.9;195.3;54;57;0;0;-;4.6
GRH;200308;9.7;157.77;227;809.6;25.4;0.8;13.7;59.7;63.5;226.1;68;41;0;0;-;4.2
GRH;200309;6.9;80.18;158;807.7;19.1;-0.1;7.3;69.4;70.0;165.6;57;54;0;0;-;3.8
GRH;200310;4.6;36.43;102;798.4;13.7;-10.3;1.1;240.4;69.9;124.8;51;55;147;12;-;4.5
GRH;200311;4.3;13.76;68;802.2;8.8;-6.5;0.9;108.2;68.1;73.0;48;56;143;62;-;4.8
GRH;200312;3.2;8.41;49;800.9;6.0;-15.1;-3.2;183.0;66.8;59.5;47;54;143;80;-;5.3
GRH;200401;2.9;2.85;61;793.7;3.4;-18.3;-6.5;380.5;81.6;44.8;31;80;392;212;-;4.3
GRH;200402;2.7;6.92;108;800.4;5.8;-16.9;-4.9;120.4;63.6;99.6;49;55;123;332;11.5;4.2
GRH;200403;3.2;7.47;178;801.4;9.6;-16.6;-4.0;119.6;72.4;138.1;48;59;127;318;20.1;4.4
GRH;200404;4.4;6.66;214;797.8;8.9;-11.2;-0.6;124.2;75.9;107.7;34;70;124;310;31.1;3.9
GRH;200405;5.4;28.20;260;800.6;16.6;-7.7;3.0;153.8;73.2;167.1;47;65;125;259;27.0;3.1
GRH;200406;7.9;77.90;233;806.5;20.9;-0.4;8.5;164.7;73.7;158.3;44;69;16;68;21.6;3.7
GRH;200407;9.1;85.99;205;807.0;21.3;0.1;10.1;87.2;74.4;147.2;41;66;0;0;35.3;4.4
GRH;200408;9.4;77.52;173;805.4;19.4;2.1;10.3;141.9;76.6;134.1;40;69;0;0;32.5;6.4
GRH;200409;8.2;69.31;159;808.2;19.2;-2.2;7.8;125.9;78.0;166.0;57;59;34;3;24.4;5.9
GRH;200410;6.5;24.11;93;801.3;16.3;-3.9;5.4;101.8;72.9;89.5;37;65;22;1;17.2;6.5
GRH;200411;4.0;9.33;52;802.2;10.1;-11.9;-1.4;116.1;71.3;46.3;30;68;61;13;16.0;5.8
GRH;200412;2.8;11.87;52;800.9;7.4;-16.0;-2.8;86.6;56.9;75.3;59;41;118;33;14.3;6.2
