stn;time;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;rre150m0;ure200m0;su2000m0;sremaxmv;fkl010m0;ets150m0;nto000m0;tre005mn;hns000m0;hto000m0;ure200mn
LUZ;202102;6.4;78;965.1;16.8;-8.0;3.6;49.6;78.5;94.5;38;1.4;6.38;-;-5.4;13;2;41.0
LUZ;202103;6.1;140;968.7;23.0;-2.6;5.7;69.4;68.1;156.2;46;1.8;33.47;-;-6.3;0;0;22.6
LUZ;202104;6.6;205;964.2;23.2;-3.8;8.4;66.5;60.3;193.2;51;1.9;68.85;-;-6.7;12;0;20.2
LUZ;202105;9.1;198;962.0;25.8;1.6;11.3;175.2;70.2;157.0;36;2.2;62.58;-;-0.9;0;0;24.7
LUZ;202106;15.7;244;965.0;30.9;9.4;19.2;173.1;72.4;212.7;48;1.6;81.89;-;4.0;0;0;27.5
LUZ;202107;16.6;197;963.4;28.4;9.6;18.3;319.5;80.3;167.2;38;1.4;54.26;-;6.4;0;0;39.5
LUZ;202108;15.6;177;964.7;30.8;9.8;17.7;141.3;77.7;148.1;37;1.4;47.22;-;7.3;0;0;37.1
LUZ;202109;14.8;159;966.7;25.8;7.9;16.4;70.0;80.4;182.1;53;1.3;38.77;-;4.5;0;0;36.7
LUZ;202110;9.8;104;967.2;23.3;1.4;9.4;46.9;83.2;135.2;45;1.2;18.01;-;-1.3;0;0;37.1
LUZ;202111;7.3;38;963.3;11.0;-1.6;4.4;33.9;86.4;37.4;16;1.2;5.05;-;-4.8;0;0;46.9
LUZ;202112;6.4;32;963.7;12.8;-3.8;2.5;105.1;86.3;38.7;19;1.3;2.93;-;-6.4;0;0;52.2
LUZ;202201;5.6;50;972.6;15.8;-5.0;1.5;39.7;81.6;69.4;31;1.4;2.40;-;-7.8;0;0;43.5
LUZ;202202;6.1;98;968.7;17.2;-3.8;4.6;72.9;72.2;121.8;49;2.2;8.36;-;-6.9;0;0;29.9
LUZ;202203;5.9;167;967.9;20.1;-4.1;7.1;27.2;59.7;246.3;72;1.5;51.36;-;-8.3;0;0;20.8
LUZ;202204;8.0;192;960.3;22.7;-1.4;9.7;77.2;67.6;187.9;50;1.9;59.97;-;-4.3;9;0;26.4
LUZ;202205;12.9;218;965.3;30.8;5.1;16.4;84.7;70.0;197.8;46;1.5;70.27;-;0.0;0;0;26.7
LUZ;202206;16.0;246;964.1;33.8;8.9;19.8;169.2;71.3;239.4;54;1.6;89.26;-;7.2;0;0;26.1
LUZ;202207;15.5;281;967.5;33.7;11.0;21.4;95.6;62.8;304.5;68;1.7;138.92;-;-;0;0;21.1
LUZ;202208;16.2;220;963.9;33.2;12.6;20.3;189.2;70.4;255.9;64;1.6;94.63;-;7.7;0;0;24.0
LUZ;202209;13.3;145;962.0;26.2;6.0;14.7;200.3;78.8;142.6;41;1.5;34.80;-;4.0;0;0;38.1
LUZ;202210;13.4;98;968.4;22.6;7.3;13.7;48.1;85.6;129.8;44;1.1;15.91;-;5.0;0;0;47.2
LUZ;202211;8.8;53;963.1;16.8;0.2;7.5;48.5;84.6;59.5;26;1.2;6.53;-;-2.2;0;0;48.2
LUZ;202212;6.7;29;962.2;14.7;-7.5;2.8;88.7;87.4;31.6;16;1.2;2.48;-;-8.8;16;2;43.3
LUZ;202301;6.0;39;965.3;13.2;-8.7;2.4;47.8;79.7;42.6;19;1.6;2.21;-;-13.7;7;1;41.3
LUZ;202302;6.0;88;973.2;15.4;-5.5;3.6;24.5;74.8;120.5;48;1.6;6.88;-;-8.8;0;0;33.6
LUZ;202303;7.3;115;960.4;19.3;-1.6;7.3;124.1;71.0;114.8;34;1.9;22.35;-;-4.8;5;0;21.0
LUZ;202304;8.3;144;962.4;19.7;-0.9;8.9;127.9;71.8;106.2;28;1.8;33.66;-;-5.4;0;0;24.6
LUZ;202305;12.2;183;964.2;25.9;6.8;14.2;171.8;76.8;142.8;33;1.5;50.07;-;3.2;0;0;31.4
LUZ;202306;13.8;286;963.1;30.9;11.7;20.5;41.7;58.5;299.7;68;1.8;138.46;-;6.7;0;0;16.5
LUZ;202307;16.4;232;963.4;35.5;10.3;20.7;148.1;69.0;202.0;45;1.7;85.06;-;7.9;0;0;21.1
LUZ;202308;16.8;195;963.5;34.0;9.0;20.2;131.9;71.9;201.0;50;1.7;71.63;-;6.9;0;0;25.5
LUZ;202309;16.3;182;965.6;29.6;7.5;18.6;53.3;76.3;234.4;68;1.3;52.37;-;4.6;0;0;37.9
LUZ;202310;11.7;111;961.2;27.0;4.7;13.0;68.3;79.2;158.3;53;1.4;26.80;-;0.9;0;0;35.4
LUZ;202311;7.8;46;958.3;15.2;-1.4;6.1;206.4;82.2;46.9;20;1.9;6.69;-;-4.4;1;0;41.2
LUZ;202312;6.9;35;965.1;12.0;-6.1;3.7;138.1;85.8;43.7;21;1.6;2.90;-;-8.1;19;2;41.8
LUZ;202401;6.2;43;966.8;16.7;-8.1;2.5;89.8;83.0;55.4;25;1.6;2.34;-;-14.0;13;1;27.8
