Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Dampfdruck 2m / Hektopascal / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Lugano	273	2717874 / 1095882	01.1961-12.1990	5.5	5.9	6.9	8.7	12.0	15.1	17.5	17.4	15.2	11.6	7.9	5.9	10.8
Luzern	454	2665544 / 1209849	01.1961-12.1990	5.2	5.5	6.4	8.0	10.8	13.5	15.4	15.4	13.4	10.2	7.1	5.6	9.7
Magadino / Cadenazzo	203	2715479 / 1113160	01.1961-12.1990	4.9	5.4	6.4	8.4	11.7	14.9	17.3	17.5	15.0	11.1	7.3	5.3	10.4
Meiringen	588	2655844 / 1175929	01.1961-12.1990	4.6	4.8	5.6	7.1	9.9	12.8	15.0	14.9	12.7	9.5	6.3	4.9	9.0
Montana	1422	2601708 / 1127488	01.1961-12.1990	3.3	3.3	3.9	5.1	7.1	9.0	10.5	10.6	9.3	7.0	4.8	3.6	6.5
Montreux-Clarens	405	2558559 / 1143600	01.1961-12.1990	5.7	5.9	6.8	8.3	11.1	13.5	15.2	15.2	13.4	10.6	7.5	6.1	9.9
Napf	1403	2638137 / 1206079	01.1961-12.1990	3.7	3.9	4.6	5.9	8.1	10.4	11.7	11.8	10.0	7.3	5.0	3.9	7.2
Neuchâtel	485	2563086 / 1205559	01.1961-12.1990	5.4	5.5	6.2	7.6	10.1	12.5	14.2	14.3	12.6	10.1	7.1	5.8	9.3
Nyon / Changins	458	2506877 / 1139573	01.1961-12.1990	5.2	5.5	6.3	7.6	10.2	12.5	14.0	13.9	12.5	9.9	7.0	5.6	9.2
Passo del Bernina	2260	2798423 / 1143019	01.1961-12.1990	2.1	2.1	2.7	3.5	5.0	6.3	7.6	7.9	6.5	4.8	3.1	2.3	4.5
Payerne	490	2562130 / 1184611	01.1961-12.1990	5.2	5.6	6.4	7.8	10.5	12.9	14.6	14.5	12.9	10.2	7.1	5.7	9.5
Pilatus	2105	2661904 / 1203410	01.1961-12.1990	2.6	2.7	3.2	4.2	6.0	8.0	9.2	9.0	7.3	5.1	3.4	2.7	5.3
Piotta	990	2695880 / 1152264	01.1961-12.1990	3.9	4.1	4.6	5.8	8.1	10.1	11.9	12.1	10.5	7.9	5.3	4.2	7.4
Piz Corvatsch	3294	2783155 / 1143524	01.1961-12.1990	1.4	1.4	1.7	2.3	3.4	4.4	5.1	5.1	4.2	2.9	1.9	1.4	2.9
Plaffeien	1042	2586828 / 1177406	01.1961-12.1990	4.1	4.3	5.0	6.4	8.9	10.9	12.5	12.3	10.8	8.1	5.5	4.3	7.8
Poschiavo / Robbia	1078	2801993 / 1136248	01.1961-12.1990	3.5	3.9	4.5	5.8	8.3	10.6	12.4	12.5	10.6	7.8	5.2	3.8	7.4
Pully	455	2540819 / 1151510	01.1961-12.1990	5.6	5.8	6.3	7.7	10.2	12.8	14.6	14.7	13.0	10.4	7.4	6.0	9.5
Rheinfelden	300	2626970 / 1266320	01.1961-12.1990	5.5	5.8	6.7	8.0	10.6	13.0	14.6	14.7	13.1	10.5	7.4	5.9	9.7
Rünenberg	611	2633252 / 1253846	01.1961-12.1990	5.0	5.3	6.1	7.4	9.9	12.4	14.0	13.8	12.2	9.6	6.7	5.4	9.0
S. Bernardino	1638	2734116 / 1147293	01.1961-12.1990	3.0	3.1	3.6	4.6	6.3	8.1	9.8	10.0	8.4	6.3	4.4	3.3	5.9
Salen-Reutenen	718	2719100 / 1279046	01.1961-12.1990	5.3	5.5	6.3	7.5	9.8	12.1	13.8	14.0	12.6	10.0	7.1	5.8	9.2
Samedan	1708	2787250 / 1155684	01.1961-12.1990	2.6	2.7	3.4	4.4	6.1	7.5	8.7	8.8	7.4	5.6	3.8	2.8	5.3
Schaffhausen	438	2688703 / 1282803	01.1961-12.1990	5.3	5.6	6.6	7.9	10.5	12.9	14.4	14.3	12.5	9.9	7.1	5.7	9.4
Scuol	1303	2817138 / 1186393	01.1961-12.1990	3.3	3.4	4.0	5.1	7.0	8.9	10.3	10.4	8.9	6.8	4.7	3.6	6.4
Segl-Maria	1804	2778576 / 1144976	01.1961-12.1990	2.5	2.6	3.2	4.4	6.0	7.7	9.0	9.1	7.7	5.6	3.7	2.7	5.4
Sion	482	2591632 / 1118583	01.1961-12.1990	4.3	4.6	5.4	6.9	9.8	12.3	14.0	14.2	12.4	9.5	6.4	4.8	8.7
St. Gallen	775	2747865 / 1254587	01.1961-12.1990	4.6	4.9	5.6	7.0	9.5	11.9	13.5	13.5	11.8	9.1	6.3	5.0	8.6
Sta. Maria, Val Müstair	1386	2828862 / 1165579	01.1961-12.1990	3.1	3.2	3.8	5.0	6.9	8.6	10.0	10.5	9.0	6.8	4.4	3.3	6.2
Stabio	351	2716048 / 1077971	01.1961-12.1990	5.0	5.4	6.4	8.3	11.3	14.6	17.1	17.4	14.9	11.1	7.4	5.3	10.4
Säntis	2501	2744188 / 1234920	01.1961-12.1990	2.3	2.2	2.7	3.5	4.9	6.3	7.4	7.3	6.0	4.3	3.1	2.4	4.4
Ulrichen	1345	2666747 / 1150766	01.1961-12.1990	3.3	3.5	4.1	5.1	7.0	8.9	10.4	10.6	9.0	6.9	4.8	3.5	6.4
Vaduz	457	2757723 / 1221699	01.1961-12.1990	4.6	4.8	5.7	7.3	10.2	13.0	15.2	15.3	12.9	9.4	6.5	5.0	9.2
Visp	639	2631150 / 1128024	01.1961-12.1990	4.1	4.4	5.2	6.5	9.1	11.5	13.3	13.5	11.7	8.9	6.1	4.7	8.3
Weissfluhjoch	2691	2780615 / 1189634	01.1961-12.1990	1.9	1.9	2.2	3.1	4.5	5.9	6.9	6.9	5.6	3.9	2.6	2.0	4.0
Wynau	421	2626405 / 1233849	01.1961-12.1990	5.5	5.8	6.7	8.2	11.0	13.5	15.2	15.1	13.1	10.2	7.2	5.8	9.8
Wädenswil	485	2693847 / 1230744	01.1961-12.1990	5.2	5.5	6.3	7.8	10.5	13.1	14.9	15.0	13.2	10.2	7.1	5.6	9.5
Zermatt	1638	2624297 / 1097574	01.1961-12.1990	2.5	2.6	3.2	4.1	6.0	7.8	8.8	8.9	7.7	5.7	3.8	2.8	5.3
Zürich / Affoltern	443	2681433 / 1253547	01.1961-12.1990	5.4	5.7	6.7	8.1	10.7	13.3	14.9	15.0	13.0	10.2	7.2	5.9	9.7
Zürich / Fluntern	555	2685117 / 1248065	01.1961-12.1990	5.2	5.5	6.3	7.6	10.2	12.7	14.3	14.4	12.8	10.1	7.0	5.6	9.3
Zürich / Kloten	426	2682711 / 1259338	01.1961-12.1990	5.4	5.7	6.6	8.0	10.6	13.1	14.7	14.7	12.9	10.1	7.1	5.8	9.6

