stn;time;pva200m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200mn;ure200m0;hto000m0;ets150m0;gre000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;tre005mn
CHD;202105;7.8;898.3;22.9;-1.5;8.0;0;202.8;18.7;74.3;0;55.43;213;141.1;39;1.7;-;-4.0
CHD;202106;13.7;902.5;27.7;5.4;15.7;0;176.4;29.4;78.5;0;79.07;266;198.8;55;1.6;-;3.5
CHD;202107;13.8;900.6;28.3;7.6;15.5;0;261.5;24.9;80.1;0;78.51;230;180.0;49;1.5;-;6.0
CHD;202108;12.9;901.7;29.4;6.1;14.7;0;125.0;20.5;79.0;0;83.32;237;221.7;63;1.6;-;3.8
CHD;202109;12.7;903.4;24.3;4.6;13.4;0;90.8;36.7;83.6;0;49.23;185;204.6;65;1.3;-;2.2
CHD;202110;8.1;902.5;23.5;-1.8;7.5;0;49.2;29.3;78.9;0;33.87;131;186.6;68;1.3;-;-4.5
CHD;202111;6.1;897.5;13.9;-11.0;1.9;34;41.8;31.2;85.9;2;9.52;64;91.1;42;0.9;-;-8.4
CHD;202112;5.1;898.1;10.3;-12.0;-1.3;89;158.3;47.0;87.8;31;4.13;52;91.9;46;0.8;-;-4.3
CHD;202201;4.2;905.9;13.9;-12.6;-1.2;49;51.5;26.1;74.1;18;7.00;79;152.3;72;1.1;-;-12.0
CHD;202202;5.1;903.5;16.4;-9.2;1.0;17;95.2;17.5;78.3;10;5.18;110;124.8;54;1.3;-;-11.0
CHD;202203;5.3;902.3;17.2;-7.9;4.2;0;21.3;12.5;65.7;0;11.39;179;215.2;69;1.3;-;-10.9
CHD;202204;7.3;895.6;19.3;-6.0;6.5;8;90.4;29.5;75.9;0;21.35;211;186.5;56;1.6;-;-6.6
CHD;202205;10.6;901.8;29.8;1.0;13.4;0;53.7;21.5;71.1;0;81.45;264;226.4;62;1.7;-;-1.0
CHD;202206;13.4;901.6;31.6;3.4;16.7;0;116.0;23.3;73.2;0;103.75;268;222.9;62;1.7;-;1.2
CHD;202207;13.5;904.7;32.3;7.4;18.5;0;65.1;14.0;66.9;0;169.46;313;304.5;82;1.9;-;5.4
CHD;202208;13.7;901.3;32.2;8.4;17.4;0;156.7;18.2;72.5;0;120.14;253;258.5;74;1.6;-;5.9
CHD;202209;11.2;898.8;24.6;0.2;11.5;0;168.5;31.3;82.0;0;44.10;165;158.1;50;1.4;-;-2.3
CHD;202210;11.2;905.0;22.9;4.6;11.7;0;76.9;31.2;82.4;0;27.55;118;162.1;59;1.0;-;1.4
CHD;202211;7.2;898.6;15.9;-4.3;4.6;0;87.9;37.2;84.4;0;8.70;65;81.6;38;1.0;-;-7.0
CHD;202212;5.9;896.6;11.6;-13.7;0.5;43;132.1;42.6;89.2;9;3.19;45;62.3;31;0.8;-;-10.4
CHD;202301;4.8;899.3;15.3;-16.3;-1.7;65;88.6;25.8;83.0;14;3.45;62;85.0;40;1.0;-;-8.8
CHD;202302;4.9;906.6;14.0;-10.6;0.9;4;6.1;23.8;73.5;7;7.32;130;177.7;77;1.0;-;-12.7
CHD;202303;6.2;896.0;19.5;-6.6;4.3;0;151.4;23.1;75.1;0;6.05;128;134.6;43;1.7;-;-8.6
CHD;202304;7.0;897.4;18.1;-4.3;5.7;4;140.5;19.9;76.1;0;14.05;176;124.1;37;1.5;-;-7.8
CHD;202305;10.4;899.9;22.9;1.8;11.0;0;102.8;39.5;80.3;0;43.76;212;151.0;41;1.5;-;-0.2
CHD;202306;12.7;900.7;27.0;6.0;15.9;0;92.8;19.6;72.3;0;108.99;272;237.5;66;1.6;-;3.8
CHD;202307;13.8;901.3;33.4;5.8;17.5;0;103.6;17.8;71.8;0;117.71;260;221.3;60;1.8;-;5.2
CHD;202308;13.3;901.4;33.8;6.1;17.2;0;122.0;22.5;70.7;0;101.19;208;183.6;52;1.5;-;5.1
CHD;202309;13.8;903.0;27.7;1.9;15.3;0;95.7;37.0;79.8;0;62.50;197;234.5;74;1.4;-;-0.7
CHD;202310;9.8;898.2;25.3;0.9;10.6;0;138.7;19.3;78.5;0;36.55;114;151.5;55;1.1;-;-1.5
CHD;202311;6.7;894.2;13.4;-9.5;3.0;29;306.8;42.7;86.4;2;5.26;44;41.4;19;1.4;-;-13.2
CHD;202312;5.9;900.3;12.0;-12.0;1.5;31;200.3;25.8;84.2;8;4.64;45;83.5;41;1.0;-;-
CHD;202401;5.4;900.9;12.9;-12.5;0.6;18;114.8;27.0;82.4;3;3.64;60;86.1;41;1.0;-;-15.0
