Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Mittlere Minimum-Temperatur 2m / Grad Celsius / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Bullet / La Frétaz	1205	2534225 / 1188081	01.1961-12.1990	-4.9	-4.4	-2.4	0.2	4.0	7.1	9.4	9.2	7.1	3.9	-1.4	-3.7	2.0
Chasseral	1594	2570845 / 1220157	01.1961-12.1990	-5.5	-5.7	-4.1	-1.9	2.2	5.2	7.6	7.5	5.6	3.0	-2.2	-4.5	0.6
Chaumont	1136	2565060 / 1211006	01.1961-12.1990	-4.8	-4.2	-2.2	1.0	5.0	7.9	10.1	9.9	7.8	4.3	-0.8	-3.6	2.5
Chur	556	2759466 / 1193152	01.1961-12.1990	-3.5	-2.0	0.8	3.8	7.6	10.6	12.5	12.2	9.7	5.7	0.7	-2.9	4.6
Château-d'Oex	1028	2577040 / 1147654	01.1961-12.1990	-6.8	-5.9	-3.5	-0.4	3.7	6.9	8.9	8.4	6.1	2.5	-2.4	-5.8	1.0
Cimetta	1661	2704433 / 1117457	01.1961-12.1990	-4.3	-4.6	-2.6	-0.3	3.6	7.3	9.8	9.6	7.5	3.9	-0.9	-3.4	2.1
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1961-12.1990	-10.2	-10.4	-9.5	-6.7	-2.4	1.0	4.0	4.0	1.9	-1.4	-6.5	-9.0	-3.8
Davos	1594	2783519 / 1187458	01.1961-12.1990	-9.8	-9.6	-7.0	-3.4	0.8	3.8	5.9	5.8	3.3	-0.1	-5.1	-8.6	-2.0
Delémont	439	2593269 / 1244543	01.1961-12.1990	-3.8	-2.4	-0.5	2.3	6.2	9.4	11.0	10.9	8.6	5.0	0.3	-2.8	3.7
Disentis	1197	2708190 / 1173793	01.1961-12.1990	-5.1	-4.6	-2.5	0.6	4.5	7.3	9.5	9.3	7.2	3.9	-1.1	-4.2	2.1
Ebnat-Kappel	623	2726347 / 1237176	01.1961-12.1990	-6.3	-5.2	-2.5	0.8	4.7	8.2	10.3	9.9	7.1	3.3	-1.5	-5.3	2.0
Einsiedeln	910	2699983 / 1221068	01.1961-12.1990	-6.9	-5.9	-3.2	0.5	4.7	7.9	10.3	9.7	7.2	3.3	-1.7	-5.6	1.7
Elm	957	2732265 / 1198424	01.1961-12.1990	-6.8	-6.0	-3.2	0.2	4.5	7.3	9.7	9.3	6.7	2.9	-2.3	-5.8	1.4
Engelberg	1035	2674161 / 1186069	01.1961-12.1990	-6.5	-5.5	-3.1	0.1	4.1	7.0	9.2	8.9	6.6	3.1	-1.9	-5.6	1.4
Evolène / Villa	1825	2605411 / 1106748	01.1961-12.1990	-6.6	-6.6	-5.0	-2.4	1.7	4.4	6.9	7.0	5.1	2.1	-2.9	-5.3	-0.1
Fahy	596	2562464 / 1252675	01.1961-12.1990	-3.2	-2.2	0.2	2.9	6.7	9.7	11.8	11.5	9.2	5.4	0.7	-2.2	4.2
Fey	737	2586724 / 1115180	01.1961-12.1990	-2.6	-1.4	0.9	4.0	8.0	11.2	13.2	12.9	10.6	6.9	1.9	-1.4	5.4
Fribourg / Grangeneuve	650	2575183 / 1180076	01.1961-12.1990	-4.2	-2.9	-0.7	2.2	6.1	9.5	11.5	11.1	8.4	4.7	0.0	-3.1	3.6
Genève / Cointrin	410	2498904 / 1122631	01.1961-12.1990	-2.4	-1.5	0.3	3.5	7.5	10.9	12.9	12.6	10.0	6.2	1.7	-0.9	5.1
Glarus	516	2723756 / 1210567	01.1961-12.1990	-4.0	-2.7	-0.1	3.2	7.0	10.0	12.1	11.8	9.3	5.3	0.5	-3.3	4.1
Grimsel Hospiz	1980	2668583 / 1158214	01.1961-12.1990	-8.5	-8.5	-7.0	-4.3	0.1	3.2	5.6	5.6	3.9	1.1	-4.0	-7.5	-1.7
Grono	323	2733017 / 1124089	01.1961-12.1990	-3.5	-2.1	0.5	4.1	7.9	11.2	13.6	13.2	10.5	6.3	1.1	-2.5	5.0
Grächen	1605	2630738 / 1116062	01.1961-12.1990	-6.2	-6.0	-4.2	-1.1	2.9	5.9	8.5	8.2	6.1	2.8	-2.5	-5.5	0.7
Gstaad	1100	2586999 / 1143000	01.1961-12.1990	-8.3	-7.2	-4.6	-0.8	3.2	6.1	8.3	8.0	5.4	1.5	-3.3	-7.2	0.1
Gütsch, Andermatt	2286	2690087 / 1167480	01.1961-12.1990	-9.3	-9.5	-8.2	-5.7	-1.5	1.6	4.2	4.2	2.4	-0.5	-5.6	-8.1	-3.0
Güttingen	440	2738422 / 1273962	01.1961-12.1990	-3.1	-2.3	0.1	3.1	7.1	10.5	12.4	12.1	9.6	5.8	1.1	-2.0	4.5
Hallau	419	2677456 / 1283471	01.1961-12.1990	-4.5	-3.5	-1.0	2.0	6.0	9.3	10.9	10.5	8.0	4.3	0.0	-3.1	3.2
Hinterrhein	1611	2733900 / 1153979	01.1961-12.1990	-12.1	-12.0	-8.7	-3.7	0.9	3.4	5.4	5.4	3.0	-0.7	-6.2	-10.7	-3.0
Interlaken	577	2633023 / 1169091	01.1961-12.1990	-3.6	-2.6	-0.2	3.0	7.0	10.2	12.4	11.9	9.2	5.0	0.5	-2.6	4.2
Jungfraujoch	3571	2641938 / 1155287	01.1961-12.1990	-16.6	-16.8	-15.7	-13.4	-9.0	-5.9	-3.4	-3.3	-5.1	-7.6	-12.8	-15.3	-10.4
Koppigen	485	2612663 / 1218664	01.1961-12.1990	-4.5	-3.2	-0.7	2.5	6.5	9.8	11.5	11.2	8.5	4.8	0.2	-3.0	3.6
La Brévine	1050	2536981 / 1203974	01.1961-12.1990	-11.2	-9.2	-7.1	-3.2	0.4	3.1	5.5	5.4	2.9	-0.5	-5.5	-9.7	-2.4
La Chaux-de-Fonds	1017	2550919 / 1214861	01.1961-12.1990	-6.4	-5.5	-3.5	-0.1	3.6	6.6	8.7	8.3	6.1	2.9	-2.0	-4.9	1.2
La Dôle	1669	2497059 / 1142372	01.1961-12.1990	-6.1	-6.0	-4.7	-2.2	1.7	4.9	7.5	7.4	5.6	2.5	-2.7	-5.0	0.2
Langnau i.E.	743	2628004 / 1198793	01.1961-12.1990	-5.4	-4.1	-1.7	1.3	5.3	8.5	10.5	10.2	7.8	4.0	-0.8	-4.2	2.6
Le Moléson	1974	2567718 / 1155076	01.1961-12.1990	-6.7	-6.8	-5.7	-3.4	0.6	3.8	6.3	6.3	4.6	2.0	-2.9	-5.4	-0.6
Locarno / Monti	366	2704166 / 1114315	01.1961-12.1990	0.2	1.2	3.9	7.2	10.8	14.1	16.6	16.0	13.3	9.0	4.2	1.2	8.1
Lugano	273	2717874 / 1095882	01.1961-12.1990	0.1	1.3	3.9	7.2	11.0	14.2	16.7	16.0	13.3	9.1	4.4	1.0	8.2
Luzern	454	2665544 / 1209849	01.1961-12.1990	-3.1	-2.0	0.4	3.7	7.9	11.1	13.3	13.0	10.1	5.9	1.1	-1.9	5.0
Magadino / Cadenazzo	203	2715479 / 1113160	01.1961-12.1990	-4.0	-1.6	1.2	4.7	8.6	11.9	14.1	13.4	10.3	5.3	0.4	-3.0	5.1
Meiringen	588	2655844 / 1175929	01.1961-12.1990	-6.0	-4.7	-1.6	2.1	6.1	9.2	11.2	10.6	8.0	4.0	-1.0	-5.0	2.7
Montana	1422	2601708 / 1127488	01.1961-12.1990	-6.5	-6.4	-4.4	-1.1	3.2	6.3	8.6	8.2	6.2	2.9	-2.2	-5.1	0.8
Montreux-Clarens	405	2558559 / 1143600	01.1961-12.1990	-0.8	0.3	2.4	5.5	9.5	12.8	15.1	14.7	12.0	8.0	3.3	0.0	6.9
Napf	1403	2638137 / 1206079	01.1961-12.1990	-4.9	-4.7	-2.9	-0.6	3.6	6.6	9.3	9.1	7.1	4.1	-1.1	-3.6	1.8
Neuchâtel	485	2563086 / 1205559	01.1961-12.1990	-1.5	-0.5	1.6	4.7	8.4	11.6	13.9	13.5	11.1	7.2	2.6	-0.4	6.0
Nyon / Changins	458	2506877 / 1139573	01.1961-12.1990	-2.1	-0.9	1.0	3.9	7.6	10.8	13.1	12.9	10.4	6.6	2.0	-1.0	5.4
Passo del Bernina	2260	2798423 / 1143019	01.1961-12.1990	-10.6	-10.8	-8.9	-5.5	-1.0	2.7	5.5	5.3	3.1	-0.5	-6.0	-9.6	-3.0
Payerne	490	2562130 / 1184611	01.1961-12.1990	-3.3	-2.1	0.0	3.0	6.8	10.0	11.9	11.6	9.0	5.3	0.9	-2.1	4.3
Pilatus	2105	2661904 / 1203410	01.1961-12.1990	-7.5	-7.6	-6.4	-4.4	-0.1	2.8	5.4	5.2	3.5	1.2	-4.1	-6.4	-1.5
Piotta	990	2695880 / 1152264	01.1961-12.1990	-5.6	-4.7	-2.0	1.2	5.2	8.3	10.6	10.1	7.7	3.6	-1.4	-4.4	2.4
Piz Corvatsch	3294	2783155 / 1143524	01.1961-12.1990	-14.9	-15.1	-14.2	-11.3	-7.0	-3.8	-1.2	-1.1	-2.8	-5.5	-10.9	-13.7	-8.5
Plaffeien	1042	2586828 / 1177406	01.1961-12.1990	-4.6	-3.9	-1.8	1.0	4.9	8.0	10.3	10.2	7.7	3.9	-0.8	-3.7	2.6
Poschiavo / Robbia	1078	2801993 / 1136248	01.1961-12.1990	-7.2	-6.2	-2.8	1.0	4.3	7.1	9.2	8.8	6.4	2.5	-2.1	-5.7	1.3
Pully	455	2540819 / 1151510	01.1961-12.1990	-0.6	0.4	2.6	5.4	9.3	12.5	14.9	14.4	11.9	8.2	3.6	0.5	6.9
