stn;time;tso010m0;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;ets150m0;nto000m0;tre005mn;ure200mn
SIO;202006;17.7;12.9;272;957.6;31.8;9.9;18.6;0;46.9;62.8;0;225.5;54;2.9;107.83;-;4.3;23.7
SIO;202007;20.1;14.7;307;961.0;34.4;10.2;21.5;0;39.7;60.0;0;318.4;76;3.3;151.06;-;5.6;23.4
SIO;202008;20.3;15.1;239;959.3;36.0;8.6;20.5;0;80.5;65.8;0;255.0;67;2.6;105.62;-;5.8;22.8
SIO;202009;18.3;13.6;190;961.0;28.7;3.7;16.7;0;35.2;72.7;0;222.0;69;2.2;60.50;-;-0.3;34.3
SIO;202010;11.9;9.4;106;959.0;20.8;-0.4;9.7;0;66.8;78.6;0;125.7;47;1.7;21.22;-;-3.5;32.4
SIO;202011;7.6;7.2;73;968.2;20.5;-5.4;5.4;0;4.6;78.7;0;119.7;74;1.4;13.00;-;-9.1;34.4
SIO;202012;3.8;5.8;41;954.4;12.2;-6.0;1.9;7;33.8;82.3;0;45.5;37;1.5;3.84;-;-11.2;29.8
SIO;202101;1.9;5.0;50;956.6;9.6;-10.1;0.1;58;100.1;79.3;3;56.4;39;1.4;2.85;-;-15.5;37.1
SIO;202102;4.9;6.0;100;962.1;20.8;-5.6;5.4;1;30.8;68.5;0;123.3;56;1.8;11.58;-;-9.5;16.5
SIO;202103;7.3;5.7;178;964.8;23.8;-2.7;7.2;0;31.8;58.8;0;219.2;70;2.5;51.02;-;-9.9;9.3
SIO;202104;10.4;6.6;242;959.7;24.0;-2.5;10.0;1;19.5;54.9;0;246.0;69;2.8;91.95;-;-10.5;14.6
SIO;202105;13.4;8.9;237;958.7;26.0;1.3;12.3;0;107.6;64.2;0;198.3;49;2.8;86.28;-;-4.0;23.1
SIO;202106;20.3;14.8;282;961.2;33.3;7.9;20.4;0;42.7;64.4;0;250.0;60;2.6;110.05;-;4.6;20.2
SIO;202107;19.4;15.8;246;959.6;29.3;9.9;19.3;0;133.9;72.3;0;228.2;55;2.3;89.02;-;7.1;30.4
SIO;202108;19.4;14.2;256;960.6;33.0;7.7;18.9;0;41.4;67.1;0;281.7;74;2.8;104.85;-;4.3;26.7
SIO;202109;18.1;13.8;184;963.2;29.0;6.0;17.0;0;50.5;73.3;0;220.8;69;2.0;59.66;-;2.8;28.9
SIO;202110;12.1;8.6;135;963.9;24.3;-0.1;10.0;0;17.6;70.9;0;207.6;77;1.7;39.41;-;-2.0;31.8
SIO;202111;7.0;6.6;64;959.5;16.5;-6.1;4.3;0;15.7;78.2;0;87.7;54;1.5;11.71;-;-9.3;30.3
SIO;202112;3.2;5.1;43;961.3;9.6;-11.9;-0.9;44;104.1;86.6;9;61.6;50;1.1;3.72;-;-13.6;47.3
SIO;202201;1.2;4.5;66;969.1;16.8;-9.1;-0.5;10;11.7;75.8;2;110.2;76;1.3;4.17;-;-10.7;36.5
SIO;202202;2.5;5.3;110;965.9;15.8;-5.6;4.1;0;25.8;64.8;0;140.0;63;2.4;12.65;-;-10.5;15.1
SIO;202203;6.6;5.1;182;964.3;21.4;-5.0;8.0;0;6.5;49.1;0;231.3;73;2.1;62.45;-;-10.7;9.8
SIO;202204;10.9;7.7;225;956.0;24.1;-1.6;11.0;0;27.5;60.4;0;221.8;62;2.8;79.40;-;-6.4;22.9
SIO;202205;18.0;11.8;284;960.9;32.7;5.0;18.0;0;30.5;59.2;0;284.3;70;2.9;120.48;-;-1.5;24.0
SIO;202206;20.4;14.7;277;960.2;36.4;6.3;21.2;0;52.3;61.4;0;267.5;64;2.7;127.27;-;2.8;19.5
SIO;202207;24.0;14.7;318;962.6;36.8;10.9;23.6;0;29.4;53.9;0;358.6;86;3.1;191.30;-;7.3;15.3
SIO;202208;23.3;15.2;250;959.3;36.2;11.7;22.0;0;36.4;60.8;0;281.2;74;2.7;126.96;-;8.9;16.4
SIO;202209;18.2;12.2;186;958.0;29.5;2.5;15.9;0;46.0;68.1;0;199.0;62;2.5;65.99;-;-1.7;31.0
SIO;202210;14.3;12.1;116;965.6;23.7;6.2;13.8;0;77.7;78.4;0;165.5;61;1.4;28.33;-;1.9;30.0
SIO;202211;8.6;7.7;66;960.4;17.1;-2.7;6.4;0;52.0;79.3;0;85.6;53;1.2;10.47;-;-6.3;32.2
SIO;202212;4.4;6.2;42;959.3;12.4;-5.9;2.7;0;90.3;82.0;0;55.5;45;1.2;4.81;-;-9.3;36.0
SIO;202301;3.5;5.3;57;962.6;13.1;-13.0;0.2;16;46.2;80.5;3;81.0;56;1.1;3.10;-;-18.3;45.8
SIO;202302;3.3;5.2;126;969.0;17.2;-6.7;3.7;0;0.1;64.8;0;186.0;84;1.7;13.57;-;-10.9;20.9
SIO;202303;7.5;7.0;141;957.5;22.0;-4.0;7.6;0;123.8;67.5;0;163.6;52;2.1;31.74;-;-8.6;19.6
SIO;202304;11.2;7.9;201;958.1;23.1;-0.7;10.3;0;67.8;63.3;0;168.7;47;2.7;59.17;-;-5.3;22.2
SIO;202305;16.5;11.3;267;959.3;28.7;4.9;15.9;0;23.6;64.8;0;233.3;57;2.8;91.22;-;1.6;21.7
SIO;202306;21.0;13.8;296;959.0;32.3;9.8;21.0;0;35.7;58.1;0;284.5;68;2.7;139.41;-;4.6;20.9
SIO;202307;22.4;15.2;285;959.5;36.3;9.4;22.0;0;78.4;59.8;0;282.5;68;2.9;140.59;-;6.7;21.2
SIO;202308;21.5;14.6;239;959.7;37.6;10.1;21.4;0;58.4;59.9;0;241.7;63;2.6;115.34;-;7.3;19.5
SIO;202309;19.2;14.7;202;962.1;31.4;5.9;19.0;0;35.7;68.4;0;257.2;80;2.0;74.59;-;2.4;34.0
SIO;202310;14.2;10.8;121;958.3;25.5;2.4;13.0;0;47.5;74.2;0;170.2;63;1.5;35.15;-;-0.3;25.3
SIO;202311;7.0;7.3;50;956.2;14.5;-4.9;4.9;13;186.1;82.5;0;53.8;33;1.6;7.48;-;-8.1;39.1
SIO;202312;3.3;6.1;42;962.9;11.8;-7.8;2.7;6;118.8;82.2;3;59.5;48;1.5;4.38;-;-7.5;44.6
SIO;202401;3.1;5.9;56;963.5;15.7;-7.2;2.7;1;52.4;77.7;0;68.0;47;1.4;3.10;-;-9.9;28.5
