Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Lufttemperatur 2m / Grad Celsius / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Grono	323	2733017 / 1124089	01.1961-12.1990	-0.3	1.5	5.3	9.2	13.2	16.7	19.3	18.2	14.9	10.3	4.6	0.8	9.5
Grächen	1605	2630738 / 1116062	01.1961-12.1990	-3.5	-3.2	-1.2	2.4	6.8	10.4	13.2	12.4	9.7	5.7	0.2	-2.4	4.2
Gstaad	1100	2586999 / 1143000	01.1961-12.1990	-4.0	-2.3	0.7	4.7	9.3	12.6	14.8	14.1	11.4	6.8	0.8	-3.3	5.5
Gütsch, Andermatt	2286	2690087 / 1167480	01.1961-12.1990	-6.5	-6.9	-6.0	-3.7	0.4	4.1	7.3	7.1	5.1	2.1	-3.1	-5.5	-0.5
Güttingen	440	2738422 / 1273962	01.1961-12.1990	-0.2	0.9	4.1	7.8	12.3	15.5	17.6	16.8	13.8	9.2	4.1	0.8	8.6
Hallau	419	2677456 / 1283471	01.1961-12.1990	-1.4	0.1	3.5	7.4	12.1	15.4	17.5	16.6	13.4	8.6	3.3	-0.3	8.0
Hinterrhein	1611	2733900 / 1153979	01.1961-12.1990	-6.6	-5.8	-3.1	0.5	5.1	8.9	11.5	10.9	8.3	4.1	-1.7	-5.6	2.2
Hörnli	1132	2713517 / 1247756	01.1961-12.1990	-1.5	-1.0	0.8	4.0	8.6	11.5	14.2	13.7	10.9	7.1	2.2	-0.6	5.8
Interlaken	577	2633023 / 1169091	01.1961-12.1990	-1.2	0.4	3.6	7.4	11.6	14.7	16.9	15.9	13.1	8.5	3.0	-0.4	7.8
Jungfraujoch	3571	2641938 / 1155287	01.1961-12.1990	-14.0	-14.3	-13.3	-11.1	-6.8	-3.5	-0.9	-1.0	-2.5	-5.2	-10.1	-12.5	-7.9
Koppigen	485	2612663 / 1218664	01.1961-12.1990	-1.2	0.4	3.5	7.4	11.8	15.1	17.3	16.8	13.5	8.7	3.3	-0.1	8.0
La Brévine	1050	2536981 / 1203974	01.1961-12.1990	-4.7	-3.0	-0.8	2.9	7.4	10.6	13.2	12.4	9.7	5.7	0.3	-3.9	4.2
La Chaux-de-Fonds	1017	2550919 / 1214861	01.1961-12.1990	-2.2	-1.2	0.8	4.2	8.5	11.8	14.2	13.5	11.0	7.2	1.8	-1.2	5.7
La Dôle	1669	2497059 / 1142372	01.1961-12.1990	-3.4	-3.5	-2.2	0.5	4.7	8.3	11.1	10.8	8.6	5.3	-0.1	-2.3	3.2
Langnau i.E.	743	2628004 / 1198793	01.1961-12.1990	-2.1	-0.5	2.4	5.9	10.2	13.5	15.9	15.0	12.3	7.9	2.5	-0.9	6.8
Le Moléson	1974	2567718 / 1155076	01.1961-12.1990	-3.8	-3.9	-3.1	-0.8	3.1	6.6	9.4	9.0	7.3	4.7	-0.3	-2.5	2.1
Locarno / Monti	366	2704166 / 1114315	01.1961-12.1990	2.7	4.1	7.4	10.9	14.5	18.1	20.7	19.8	16.7	12.0	6.7	3.8	11.5
Lugano	273	2717874 / 1095882	01.1961-12.1990	2.5	3.8	7.1	10.7	14.5	18.4	21.2	20.4	17.3	12.5	7.4	3.8	11.6
Luzern	454	2665544 / 1209849	01.1961-12.1990	-0.2	1.3	4.4	8.2	12.5	15.5	17.9	17.0	14.0	9.3	4.1	0.7	8.7
Magadino / Cadenazzo	203	2715479 / 1113160	01.1961-12.1990	0.1	2.8	6.8	10.8	14.6	18.1	20.4	19.3	15.8	10.7	4.9	0.9	10.4
Meiringen	588	2655844 / 1175929	01.1961-12.1990	-2.6	-0.4	3.1	7.4	11.8	14.6	16.6	15.7	12.9	8.4	2.5	-1.9	7.3
Montana	1422	2601708 / 1127488	01.1961-12.1990	-2.5	-2.2	-0.2	3.1	7.4	10.9	13.6	12.9	10.7	6.8	1.4	-1.4	5.0
Montreux-Clarens	405	2558559 / 1143600	01.1961-12.1990	1.5	2.8	5.4	9.1	13.3	16.7	19.3	18.6	15.5	10.9	5.8	2.4	10.1
Napf	1403	2638137 / 1206079	01.1961-12.1990	-2.3	-2.4	-0.5	2.3	6.5	9.8	12.6	12.2	9.9	6.8	1.2	-1.1	4.6
