stn;time;pva200m0;tre200mx;tre200mn;tre200m0;rre150m0;ure200mn;ure200m0;ets150m0;gre000m0;prestam0;su2000m0;sremaxmv;fkl010m0;nto000m0;tre005mn;hns000m0;hto000m0
SIA;202007;10.4;23.8;1.7;12.6;75.5;18.7;72.6;126.98;289;823.0;248.4;66;3.2;-;-1.1;0;0
SIA;202008;11.1;24.5;1.5;12.2;193.0;30.4;78.9;84.39;220;821.6;196.0;54;3.1;-;-1.1;0;0
SIA;202009;9.2;20.4;-6.5;8.7;68.1;23.5;80.5;53.55;189;821.7;185.1;61;2.9;-;-10.0;9;0
SIA;202010;5.7;12.0;-6.9;2.2;178.7;22.7;78.7;22.56;118;817.0;131.3;51;3.4;-;-9.8;37;3
SIA;202011;4.4;11.5;-9.0;0.2;6.3;23.9;70.2;17.44;94;824.4;171.8;85;2.2;-;-13.6;3;2
SIA;202012;3.7;3.1;-18.7;-5.1;134.5;24.4;83.0;4.05;50;810.1;56.4;31;3.0;-;-20.9;184;68
SIA;202101;2.7;2.3;-20.9;-8.4;88.8;14.2;75.6;4.64;71;809.6;82.2;42;2.6;-;-25.4;120;86
SIA;202102;3.6;8.6;-25.1;-4.5;52.2;19.7;77.2;5.25;131;818.5;148.2;68;2.6;-;-30.3;68;121
SIA;202103;2.9;12.0;-17.8;-3.7;7.7;15.6;62.9;10.14;201;819.4;198.0;68;2.8;-;-20.0;8;101
SIA;202104;3.9;11.6;-15.4;-1.2;28.7;16.9;67.4;11.63;248;816.6;196.2;58;3.0;-;-16.2;14;55
SIA;202105;5.5;14.6;-5.4;3.9;114.4;26.6;69.0;27.33;254;816.4;164.5;44;3.5;-;-8.6;16;2
SIA;202106;9.7;22.6;-1.3;11.5;44.7;19.7;72.6;85.07;290;823.2;215.8;58;3.4;-;-5.8;0;0
SIA;202107;10.5;21.6;2.5;11.8;196.2;20.5;76.8;91.80;236;821.4;183.0;48;3.3;-;-1.3;0;0
SIA;202108;9.8;22.1;0.4;10.7;151.2;24.0;76.3;95.71;240;821.7;214.3;59;2.9;-;-1.4;0;0
SIA;202109;9.1;18.1;-1.4;9.1;70.9;18.1;79.5;58.29;193;823.9;197.1;65;2.9;-;-4.7;0;0
SIA;202110;5.5;13.1;-5.7;3.2;41.3;13.5;70.7;34.06;126;822.0;153.6;60;3.5;-;-10.4;0;0
SIA;202111;4.4;8.3;-14.2;-2.1;117.7;32.7;81.5;9.14;78;815.7;99.2;49;2.3;-;-7.8;122;31
SIA;202112;3.1;9.1;-17.4;-4.8;29.4;26.1;70.2;9.37;64;815.3;104.6;57;2.6;-;-21.1;33;41
SIA;202201;2.5;6.6;-19.8;-5.5;9.8;18.2;61.2;8.85;81;821.6;139.6;70;3.3;-;-23.1;7;40
SIA;202202;2.7;8.4;-22.3;-5.4;40.7;17.7;64.0;7.31;126;819.0;138.4;64;3.1;-;-22.9;43;52
SIA;202203;3.3;9.5;-18.2;-3.1;5.6;13.7;65.4;10.66;194;821.2;214.2;74;2.5;-;-20.9;9;39
SIA;202204;4.5;13.3;-12.5;1.2;40.9;19.1;68.2;11.62;248;814.1;203.7;60;3.1;-;-13.8;16;8
SIA;202205;8.2;20.6;-1.8;8.6;50.6;27.9;75.0;20.75;252;821.8;186.1;50;3.1;-;-4.9;0;0
SIA;202206;10.3;21.6;1.5;12.0;108.8;16.4;74.9;84.46;273;823.1;226.9;61;3.4;-;-1.9;0;0
SIA;202207;10.3;24.9;2.7;14.3;66.8;20.4;65.2;174.34;307;825.7;283.9;75;3.3;-;-0.1;0;0
SIA;202208;10.6;23.8;1.7;13.0;62.6;21.2;72.8;122.42;255;822.6;243.7;68;3.1;-;-0.4;0;0
SIA;202209;8.0;20.5;-3.9;7.4;99.6;14.8;76.1;58.51;178;818.4;160.3;53;3.1;-;-7.5;0;0
SIA;202210;7.5;17.8;-1.7;6.8;130.2;27.0;77.6;30.19;123;825.8;163.0;64;2.7;-;-5.3;0;0
SIA;202211;4.6;11.2;-10.3;-0.4;44.3;27.6;76.6;11.51;77;817.2;111.2;55;2.6;-;-11.9;22;3
SIA;202212;3.8;5.8;-21.6;-4.3;38.3;34.1;80.2;5.73;56;815.1;81.2;44;2.3;-;-25.1;58;20
SIA;202301;3.1;6.6;-16.6;-5.2;17.1;19.2;70.1;6.24;72;815.7;107.3;54;3.3;-;-19.6;31;20
SIA;202302;3.0;10.1;-18.3;-3.3;1.3;15.2;62.7;8.12;127;822.9;163.1;75;2.7;-;-21.4;2;12
SIA;202303;4.2;9.7;-10.8;-0.7;49.2;13.7;71.3;7.01;174;813.7;152.9;53;3.1;-;-13.1;29;10
SIA;202304;4.4;13.4;-9.7;1.2;72.9;15.0;66.3;10.63;231;814.9;166.1;49;3.2;-;-11.2;56;3
SIA;202305;7.6;17.8;-0.9;6.8;77.0;30.5;77.1;16.46;241;819.3;141.9;38;3.5;-;-2.9;0;0
SIA;202306;9.7;22.7;1.6;11.5;61.4;23.7;73.0;84.73;281;821.6;212.2;57;3.2;-;-2.0;0;0
SIA;202307;11.2;24.8;0.1;13.1;117.8;27.3;75.4;106.92;272;822.6;223.4;59;3.4;-;-2.5;0;0
SIA;202308;10.8;26.2;0.1;12.6;178.8;25.9;74.0;94.55;227;822.2;189.5;53;3.1;-;-2.0;0;0
SIA;202309;10.3;23.8;-1.4;10.5;97.5;26.7;82.0;54.86;188;824.5;205.2;68;3.0;-;-3.6;0;0
SIA;202310;7.3;19.1;-4.8;6.4;227.9;14.3;77.8;31.78;117;819.1;152.0;59;3.1;-;-9.3;4;0
SIA;202311;4.1;9.3;-14.8;-1.5;76.3;22.2;72.6;10.77;77;811.5;83.1;41;3.2;-;-18.9;61;11
SIA;202312;3.8;7.6;-17.1;-3.0;119.5;12.3;76.2;6.52;55;817.1;78.2;43;2.7;-;-20.6;84;38
SIA;202401;3.1;10.3;-21.7;-4.9;39.1;15.8;69.3;6.70;74;817.9;117.4;59;2.6;-;-23.2;68;59
