stn;time;pva200m0;prestam0;tre200m0;rre150m0;ets150m0;gre000m0;tre200mx;tre200mn;ure200mn;ure200m0;sremaxmv;fkl010m0;nto000m0;hns000m0;hto000m0;tre005mn;su2000m0
RAG;202004;7.9;958.5;13.3;37.7;97.18;235;24.6;-0.7;15.0;53.2;71;3.0;-;-;-;-3.0;244.1
RAG;202005;10.2;960.9;14.3;102.8;88.58;236;26.9;2.8;28.4;65.4;51;3.0;-;-;-;-0.1;205.7
RAG;202006;13.6;956.7;16.6;191.7;72.30;226;27.6;6.3;27.4;73.9;41;2.8;-;-;-;4.2;168.7
RAG;202007;16.0;960.4;19.6;119.9;94.63;245;31.8;11.0;36.0;71.3;57;2.7;-;-;-;8.3;233.4
RAG;202008;16.3;958.3;19.4;236.3;71.82;190;33.8;8.7;27.5;73.7;51;2.6;-;-;-;7.2;189.1
RAG;202009;14.5;959.9;16.2;68.5;45.33;168;27.4;4.9;33.5;78.1;63;2.3;-;-;-;4.5;193.2
RAG;202010;9.4;957.2;10.4;117.9;20.73;90;22.1;1.4;24.0;75.9;37;3.3;-;-;-;-0.4;97.0
RAG;202011;7.3;966.7;6.2;8.3;15.07;65;20.6;-3.3;35.5;76.9;59;2.2;-;-;-;-5.0;120.0
RAG;202012;5.8;952.1;3.0;79.8;6.00;38;13.1;-4.2;16.8;76.4;33;3.3;-;-;-;-6.0;60.5
RAG;202101;4.9;954.5;0.1;140.5;3.48;50;11.9;-10.5;36.9;77.9;34;3.0;-;-;-;-13.4;66.3
RAG;202102;5.7;960.6;5.8;35.1;12.63;95;20.0;-8.3;13.1;63.5;54;3.9;-;-;-;-10.1;118.2
RAG;202103;5.7;963.7;6.1;59.6;40.90;151;22.7;-2.0;18.9;63.0;54;3.2;-;-;-;-4.4;161.2
RAG;202104;6.4;959.3;8.8;29.4;75.67;220;22.6;-2.4;20.6;57.7;58;3.8;-;-;-;-4.0;199.7
RAG;202105;9.1;957.1;11.8;72.6;67.43;223;26.7;2.6;19.8;68.3;39;3.4;-;-;-;-0.3;157.9
RAG;202106;14.9;960.2;19.8;81.8;103.99;280;33.6;10.1;22.6;66.9;58;2.7;-;-;-;6.5;239.6
RAG;202107;16.3;958.8;18.2;245.7;59.10;194;30.5;11.2;31.5;79.3;39;2.6;-;-;-;9.7;160.6
RAG;202108;15.6;960.0;17.4;148.4;50.33;185;30.9;10.6;41.7;79.5;41;2.3;-;-;-;9.4;154.1
RAG;202109;14.1;962.1;16.4;46.7;50.35;170;27.9;8.1;30.9;76.8;65;2.3;-;-;-;7.1;200.3
RAG;202110;8.9;962.6;10.5;17.5;30.72;106;23.3;1.6;31.6;71.4;56;3.1;-;-;-;0.8;146.1
RAG;202111;6.9;958.5;4.1;81.8;8.11;47;15.9;-1.7;37.0;84.8;30;2.2;-;-;-;-2.6;60.2
RAG;202112;5.8;959.0;2.0;69.4;5.34;41;12.7;-7.0;39.2;81.1;42;2.8;-;-;-;-9.3;77.4
RAG;202201;5.0;967.6;0.9;33.5;4.11;58;16.6;-9.1;35.1;76.2;54;2.4;-;-;-;-8.5;106.0
RAG;202202;5.5;963.6;4.4;106.5;10.97;95;17.2;-1.8;23.6;66.0;52;4.0;-;-;-;-4.7;115.1
RAG;202203;5.1;963.4;8.5;8.4;64.35;169;21.6;-4.0;10.4;47.3;75;4.0;-;-;-;-6.7;226.0
RAG;202204;7.9;955.4;10.0;53.5;63.98;200;22.8;-0.9;24.0;65.5;52;3.2;-;-;-;-3.0;180.0
RAG;202205;13.0;960.7;16.3;68.5;65.94;225;33.7;5.3;17.9;71.5;45;2.8;-;-;-;0.8;181.4
RAG;202206;15.4;959.6;19.9;124.0;98.17;252;34.8;10.2;19.0;68.7;57;3.1;-;-;-;8.2;232.6
RAG;202207;15.6;962.8;21.1;72.9;126.78;268;35.1;10.1;23.7;64.5;65;2.9;-;-;-;7.2;269.2
RAG;202208;15.8;959.2;20.6;108.2;102.98;232;34.2;12.4;23.1;67.6;67;2.7;-;-;-;7.1;248.7
RAG;202209;12.8;957.4;14.4;95.1;37.05;147;26.1;5.0;40.9;77.6;43;2.4;-;-;-;1.3;133.2
RAG;202210;12.2;964.1;14.5;95.3;26.89;100;24.6;6.0;31.3;74.9;52;2.7;-;-;-;2.9;135.8
RAG;202211;7.9;958.5;7.8;31.9;12.42;58;18.7;1.0;31.4;75.6;40;2.7;-;-;-;-3.0;80.2
RAG;202212;6.1;957.6;3.1;53.1;5.72;39;17.0;-6.6;33.8;79.0;35;2.6;-;-;-;-10.9;64.7
RAG;202301;5.5;960.5;3.0;13.2;3.78;47;18.5;-7.2;29.6;71.5;31;3.3;-;-;-;-11.4;61.9
RAG;202302;5.6;968.2;3.9;22.3;9.99;98;17.4;-4.7;29.1;68.5;59;2.6;-;-;-;-8.6;129.2
RAG;202303;7.1;955.6;7.3;90.6;25.38;128;20.7;-1.8;27.0;69.7;41;3.3;-;-;-;-5.7;123.1
RAG;202304;8.1;957.5;8.9;145.7;41.79;178;22.6;-2.3;18.6;71.1;37;3.1;-;-;-;-6.2;126.7
RAG;202305;12.0;959.2;14.6;118.1;58.35;218;25.6;5.3;34.0;74.0;40;3.0;-;-;-;-;159.7
RAG;202306;13.4;958.5;20.2;20.5;124.89;277;32.3;9.3;24.8;58.4;60;3.2;-;-;-;5.5;247.4
RAG;202307;16.2;958.9;20.5;134.6;89.22;234;36.0;10.1;21.6;69.4;47;2.9;-;-;-;7.9;193.3
RAG;202308;16.5;959.0;19.7;297.7;69.09;195;33.5;10.1;31.3;72.7;47;2.9;-;-;-;7.7;176.0
RAG;202309;15.3;961.3;18.5;114.3;58.46;179;28.7;7.3;33.8;72.3;70;2.7;-;-;-;4.4;213.2
RAG;202310;11.3;956.8;14.1;108.1;31.87;109;25.1;2.9;34.4;71.6;55;3.2;-;-;-;-0.2;144.5
RAG;202311;7.3;953.5;6.0;170.4;8.79;45;17.0;-1.4;33.1;78.4;25;3.8;-;-;-;-3.0;51.3
RAG;202312;6.4;960.2;4.4;132.2;6.12;37;13.5;-5.5;32.1;76.9;36;3.4;-;-;-;-5.8;67.1
RAG;202401;5.8;961.9;3.1;64.9;4.20;50;14.6;-4.7;28.7;74.0;43;3.1;-;-;-;-8.3;85.2
