stn;time;tso010m0;pva200m0;ets150m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;tre005mn;ure200mn
DAV;202202;-0.6;3.5;5.66;108;841.0;11.6;-16.6;-3.4;110;85.6;70.5;95;114.4;51;2.5;-;-20.0;10.4
DAV;202203;-0.4;3.2;14.39;192;842.4;13.5;-15.1;0.0;5;5.0;53.7;78;234.7;78;2.0;-;-17.6;6.9
DAV;202204;3.2;4.9;11.61;226;835.4;17.4;-9.5;3.3;13;33.9;66.1;19;182.5;58;2.4;-;-12.0;11.5
DAV;202205;10.8;8.6;19.31;238;842.8;24.3;-0.5;9.7;0;67.4;73.7;0;161.2;47;2.4;-;-2.6;22.9
DAV;202206;13.8;10.4;90.98;251;843.6;26.7;3.2;13.5;0;131.1;70.3;0;197.1;56;2.5;-;-1.8;21.6
DAV;202207;16.3;11.0;143.17;268;846.7;27.8;4.3;14.8;0;92.7;68.1;0;229.7;65;2.6;-;0.6;18.2
DAV;202208;16.1;11.0;129.90;241;843.4;26.2;5.9;14.3;0;85.8;70.5;0;232.5;70;2.4;-;2.3;20.5
DAV;202209;11.9;8.4;49.87;152;839.4;22.6;-2.0;8.1;1;114.4;77.8;0;126.8;42;2.4;-;-4.8;19.2
DAV;202210;9.2;8.0;32.26;119;846.4;20.4;0.2;8.6;0;98.1;73.8;0;160.7;60;1.6;-;-2.5;18.4
DAV;202211;3.9;5.1;10.67;71;838.4;13.4;-7.8;1.3;46;42.8;76.0;4;97.6;47;1.7;-;-10.9;21.5
DAV;202212;1.0;4.2;5.77;54;836.1;9.1;-17.1;-2.5;29;39.1;79.8;13;87.1;45;1.4;-;-20.9;30.1
DAV;202301;0.2;3.4;5.22;70;837.7;9.1;-16.1;-4.3;41;18.3;73.9;20;102.7;50;1.7;-;-19.5;20.4
DAV;202302;-0.1;3.5;7.23;124;845.0;12.2;-15.6;-2.2;35;23.0;66.5;34;147.9;66;1.5;-;-20.1;17.7
DAV;202303;0.5;4.5;7.17;159;835.0;14.3;-8.7;0.9;66;71.9;70.7;23;152.9;51;2.1;-;-12.1;7.9
DAV;202304;4.4;5.1;7.68;211;836.7;15.6;-8.3;2.1;50;85.2;72.7;2;134.7;43;2.4;-;-11.2;18.3
DAV;202305;10.4;7.8;17.87;220;840.6;18.7;-0.4;7.9;0;112.5;75.9;0;131.0;38;2.3;-;-2.7;19.8
DAV;202306;14.4;9.6;93.18;266;842.4;27.3;3.6;13.0;0;76.4;66.8;0;197.8;56;2.4;-;-1.9;19.8
DAV;202307;16.0;11.4;96.44;238;843.1;28.5;2.4;14.0;0;118.8;73.6;0;170.9;48;2.8;-;-0.8;19.6
DAV;202308;15.3;11.0;96.39;200;843.1;28.5;2.6;13.6;0;218.6;73.6;0;162.9;49;2.5;-;-1.4;20.8
DAV;202309;13.7;10.5;77.43;192;845.0;24.1;0.5;12.4;0;69.6;74.1;0;214.8;71;2.2;-;-2.8;25.3
DAV;202310;9.7;7.4;40.40;120;839.6;23.3;-2.8;8.2;0;105.7;70.1;0;157.5;59;2.1;-;-6.1;15.1
DAV;202311;3.3;4.9;5.64;62;832.9;9.6;-13.1;-1.1;105;137.1;84.3;9;60.2;29;2.1;-;-15.7;24.6
DAV;202312;1.6;4.4;4.67;51;838.7;5.6;-16.2;-2.2;145;166.1;82.8;57;75.1;39;1.6;-;-14.0;34.5
DAV;202401;0.9;3.8;5.30;71;839.5;8.3;-18.4;-3.5;56;66.5;76.0;77;111.4;54;1.4;-;-21.6;20.4
