stn;time;tso010m0;tre005mn;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;ets150m0;nto000m0;ure200mn
STG;202208;19.1;8.1;14.8;231;928.6;31.2;11.2;18.4;0;216.6;71.4;0;277.9;66;1.8;133.71;-;29.6
STG;202209;15.6;1.5;11.8;140;925.9;23.0;4.6;12.8;0;171.1;78.8;0;134.4;38;2.1;44.55;-;45.6
STG;202210;12.9;2.3;11.8;94;932.1;22.6;6.3;13.5;0;92.4;77.1;0;120.9;41;1.5;28.72;-;34.3
STG;202211;8.3;-6.7;7.5;49;926.0;14.9;-2.3;6.4;0;75.8;79.0;0;59.2;27;1.9;9.38;-;32.8
STG;202212;4.5;-6.8;6.0;28;924.6;15.1;-10.0;2.3;26;81.2;83.6;3;34.5;18;1.7;2.98;-;30.1
STG;202301;4.0;-12.5;5.4;33;927.4;14.5;-6.4;1.6;15;43.9;77.3;4;27.4;13;2.2;2.66;-;34.3
STG;202302;2.9;-11.1;5.4;82;935.2;13.5;-6.9;2.5;11;53.2;73.5;2;103.6;43;2.0;5.39;-;29.9
STG;202303;5.7;-6.7;6.4;112;923.1;19.2;-3.0;5.9;5;96.0;69.1;1;104.4;31;2.7;6.25;-;27.4
STG;202304;8.5;-8.3;7.5;154;925.5;18.1;-4.2;6.5;0;210.9;75.8;0;116.4;30;2.3;12.99;-;27.6
STG;202305;12.9;-0.2;10.9;191;928.0;23.9;3.6;12.1;0;181.0;78.8;0;157.1;35;1.9;55.36;-;35.2
STG;202306;17.9;5.6;12.3;308;927.8;29.0;9.7;18.3;0;43.8;59.5;0;332.5;73;2.0;183.14;-;27.3
STG;202307;19.7;6.7;14.4;225;928.0;31.6;9.4;18.9;0;189.2;67.4;0;195.4;43;2.4;120.20;-;27.7
STG;202308;18.2;3.7;15.1;190;928.0;31.8;8.5;18.4;0;330.0;71.2;0;199.0;48;2.1;102.77;-;33.8
STG;202309;16.5;3.0;14.6;186;930.1;26.3;6.8;17.1;0;76.9;75.1;0;246.2;70;1.5;72.24;-;34.6
STG;202310;12.9;-2.7;10.2;101;925.0;23.9;1.9;12.7;0;94.2;71.4;0;133.8;45;2.0;41.97;-;17.1
STG;202311;7.7;-7.9;6.9;39;920.8;15.3;-3.4;4.9;9;226.6;78.6;1;35.3;16;3.0;7.66;-;30.6
STG;202312;4.1;-5.8;6.0;35;927.0;11.5;-7.8;3.7;46;136.7;75.8;6;53.9;29;2.6;4.90;-;21.4
STG;202401;3.6;-12.3;5.4;46;928.7;12.4;-10.1;1.7;50;149.1;77.0;11;69.7;33;2.0;4.28;-;17.4
