Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Luftdruck auf Stationshöhe / Hektopascal / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Le Moléson	1974	2567718 / 1155076	01.1961-12.1990	796.8	795.3	796.3	795.9	799.7	803.2	805.5	804.9	804.8	802.2	798.1	797.1	800.0
Locarno / Monti	366	2704166 / 1114315	01.1961-12.1990	972.0	970.2	969.7	967.6	969.4	970.0	970.6	970.5	972.3	972.9	971.3	971.5	970.7
Lugano	273	2717874 / 1095882	01.1961-12.1990	981.1	979.1	978.4	976.3	977.8	978.4	978.8	978.6	980.7	981.5	980.0	980.3	979.3
Luzern	454	2665544 / 1209849	01.1961-12.1990	963.8	961.8	961.7	960.0	961.5	963.5	964.6	964.1	965.2	964.7	963.0	963.5	963.1
Magadino / Cadenazzo	203	2715479 / 1113160	01.1961-12.1990	992.6	990.6	989.9	987.5	989.0	989.5	990.0	990.0	992.0	992.9	991.6	992.0	990.6
Meiringen	588	2655844 / 1175929	01.1961-12.1990	948.2	946.3	946.4	944.6	946.3	948.3	949.6	949.2	950.1	949.5	947.8	948.1	947.9
Montana	1422	2601708 / 1127488	01.1961-12.1990	854.6	852.9	853.5	852.6	855.6	858.2	860.2	859.6	859.9	858.5	855.2	854.6	856.3
Montreux-Clarens	405	2558559 / 1143600	01.1961-12.1990	970.3	968.1	968.1	966.0	967.5	969.3	970.4	969.8	971.0	970.7	969.4	970.0	969.2
Napf	1403	2638137 / 1206079	01.1961-12.1990	856.2	854.6	855.5	855.1	858.0	860.8	862.6	862.0	862.2	860.3	857.1	856.4	858.4
Neuchâtel	485	2563086 / 1205559	01.1961-12.1990	960.5	958.4	958.4	956.5	958.1	960.0	961.0	960.6	961.7	961.3	959.8	960.2	959.7
Payerne	490	2562130 / 1184611	01.1961-12.1990	959.9	957.7	957.7	955.8	957.4	959.4	960.6	960.1	961.2	960.7	959.1	959.6	959.1
Pilatus	2105	2661904 / 1203410	01.1961-12.1990	783.3	781.8	783.0	782.9	786.8	790.3	792.6	792.1	791.8	789.3	784.9	783.7	786.9
Piotta	990	2695880 / 1152264	01.1961-12.1990	902.0	900.2	900.6	899.5	902.1	903.7	904.9	904.6	905.5	905.1	902.4	901.9	902.7
Piz Corvatsch	3294	2783155 / 1143524	01.1961-12.1990	671.8	670.4	671.6	672.7	677.8	681.8	684.9	684.5	683.6	680.8	674.9	672.8	677.3
Poschiavo / Robbia	1078	2801993 / 1136248	01.1961-12.1990	891.7	890.0	890.1	889.2	892.1	893.7	895.2	895.0	895.7	895.2	892.0	891.3	892.6
Pully	455	2540819 / 1151510	01.1961-12.1990	963.7	961.7	961.7	959.6	961.3	963.1	964.2	963.7	964.8	964.4	962.9	963.5	962.9
Rheinfelden	300	2626970 / 1266320	01.1961-12.1990	982.5	980.7	980.3	978.3	979.7	981.5	982.2	981.9	983.3	983.1	981.7	982.2	981.5
S. Bernardino	1638	2734116 / 1147293	01.1961-12.1990	831.7	830.2	830.9	830.6	834.0	836.5	838.5	838.1	838.3	836.8	832.9	831.9	834.2
Samedan	1708	2787250 / 1155684	01.1961-12.1990	824.6	822.8	823.6	823.3	826.8	829.4	831.3	830.8	830.9	829.5	825.8	824.9	827.0
Schaffhausen	438	2688703 / 1282803	01.1961-12.1990	965.7	963.9	963.6	961.8	963.3	965.0	966.2	965.7	966.9	966.5	964.9	965.3	964.9
Scuol	1303	2817138 / 1186393	01.1961-12.1990	868.2	865.7	865.8	865.2	868.2	870.6	872.1	871.6	872.2	871.2	868.4	867.8	868.9
Sion	482	2591632 / 1118583	01.1961-12.1990	961.2	958.8	958.4	956.1	957.7	959.4	960.5	960.3	961.6	961.6	960.3	960.9	959.7
St. Gallen	775	2747865 / 1254587	01.1961-12.1990	926.1	924.4	924.6	923.2	925.1	927.2	928.6	928.1	929.0	928.1	926.0	925.9	926.4
Säntis	2501	2744188 / 1234920	01.1961-12.1990	744.9	743.6	744.7	745.5	749.7	753.3	755.9	755.4	754.8	752.3	747.3	745.6	749.4
Vaduz	457	2757723 / 1221699	01.1961-12.1990	963.7	961.8	961.6	959.8	961.2	963.0	964.1	963.6	964.8	964.5	962.9	963.4	962.9
Weissfluhjoch	2691	2780615 / 1189634	01.1961-12.1990	728.6	727.2	728.3	729.0	733.5	737.2	739.9	739.4	738.8	736.3	731.0	729.3	733.2
Wynau	421	2626405 / 1233849	01.1961-12.1990	967.8	965.7	965.6	963.5	965.0	966.7	967.8	967.3	968.5	968.2	966.9	967.4	966.7
Zermatt	1638	2624297 / 1097574	01.1961-12.1990	831.9	830.2	830.9	830.4	833.5	836.3	838.4	838.0	838.1	836.6	832.9	832.0	834.1
Zürich / Fluntern	555	2685117 / 1248065	01.1961-12.1990	951.8	949.9	949.9	948.3	950.0	951.9	953.1	952.6	953.6	953.0	951.3	951.5	951.4
Zürich / Kloten	426	2682711 / 1259338	01.1961-12.1990	967.1	965.1	965.1	963.2	964.7	966.6	967.8	967.3	968.4	967.9	966.3	966.7	966.4

