Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 08.01.2024 / Stand: 01.01.2024

Monatswerte Tage mit Niederschlag (>= 1mm) / Anzahl / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Sargans	585	2752065 / 1213348	01.1961-12.1990	11.5	10.1	11.9	13.0	13.6	14.8	13.9	14.5	10.3	8.7	10.8	10.8	143.9
Sarnen	471	2662147 / 1194359	01.1961-12.1990	10.2	9.7	11.5	12.2	14.1	14.5	13.3	13.6	9.2	8.3	10.4	10.2	137.2
Sattel, SZ	790	2691000 / 1215145	01.1961-12.1990	12.2	11.5	13.5	13.6	14.3	15.1	13.7	14.2	10.3	9.2	11.8	12.3	151.7
Savognin	1172	2765387 / 1162662	01.1961-12.1990	7.2	6.3	7.8	8.1	10.9	11.5	11.0	11.8	8.1	6.5	7.7	7.4	104.3
Schaan	444	2755510 / 1228259	01.1961-12.1990	10.7	8.7	10.1	11.3	12.5	13.7	14.0	13.1	9.8	8.0	10.3	10.4	132.6
Schaffhausen	438	2688703 / 1282803	01.1961-12.1990	11.6	9.6	11.4	11.1	12.6	11.2	10.9	11.7	8.5	8.0	10.2	10.6	127.4
Schleitheim	497	2678236 / 1288716	01.1961-12.1990	10.8	9.5	10.4	10.6	11.5	11.6	10.3	11.0	7.9	7.8	9.7	10.5	121.6
Schwarzenburg	806	2593149 / 1184720	01.1961-12.1990	11.3	10.8	12.9	12.9	15.0	13.1	11.1	12.0	8.9	9.0	10.9	11.2	139.1
Schwarzenegg	902	2621687 / 1183859	01.1961-12.1990	10.6	10.0	12.0	12.9	14.4	14.5	12.6	12.7	8.8	8.5	10.5	10.6	138.1
Schwyz	479	2691646 / 1208411	01.1961-12.1990	11.7	11.0	13.3	13.7	14.4	14.8	13.5	13.9	10.6	9.0	11.5	11.8	149.2
Schwägalp	1348	2742180 / 1235649	01.1961-12.1990	15.4	13.0	15.9	16.0	17.5	16.5	16.1	15.5	11.8	10.1	13.8	13.5	175.1
Schänis	415	2719940 / 1225579	01.1961-12.1990	12.4	11.4	12.9	13.7	14.7	15.3	14.4	14.4	10.2	9.0	11.8	11.8	152.0
Scudellate	920	2724253 / 1086841	01.1961-12.1990	6.1	6.5	7.5	11.1	13.4	10.4	8.7	9.7	7.4	8.0	8.2	5.7	102.7
Scuol	1303	2817138 / 1186393	01.1961-12.1990	6.9	6.0	6.3	6.9	10.4	10.2	11.3	11.3	7.8	6.2	7.4	7.1	97.8
Sedrun	1431	2699952 / 1169848	01.1961-12.1990	11.2	11.3	12.6	12.6	12.9	13.3	12.2	13.4	9.6	9.6	11.6	11.1	141.4
Seengen	445	2656680 / 1242100	01.1961-12.1990	11.7	10.5	11.9	11.9	12.7	11.8	11.4	11.4	8.5	8.3	10.7	11.0	131.8
Segl-Maria	1804	2778576 / 1144976	01.1961-12.1990	7.2	6.8	7.5	8.7	11.4	10.7	10.8	11.0	7.5	7.4	8.1	7.2	104.3
Sempach	532	2657439 / 1220764	01.1961-12.1990	11.1	10.8	11.6	12.6	13.6	13.2	11.7	12.2	8.4	8.2	10.1	10.4	133.9
Semsales	874	2561108 / 1158427	01.1961-12.1990	11.7	11.2	12.7	11.8	14.1	13.1	10.4	10.9	9.4	9.0	10.8	11.3	136.4
Sevelen	457	2755605 / 1221301	01.1961-12.1990	10.4	9.3	10.9	12.2	13.7	14.3	13.8	13.8	10.2	8.0	10.1	10.0	136.7
Siebnen	452	2710821 / 1225537	01.1961-12.1990	12.1	11.1	13.5	13.3	14.5	14.9	13.8	14.1	10.0	8.7	11.3	11.9	149.2
Sierre	540	2608597 / 1127297	01.1961-12.1990	8.1	6.5	7.5	6.6	7.7	7.8	7.3	8.4	5.7	6.2	7.5	7.9	87.2
Sihlbrugg	549	2686318 / 1230585	01.1961-12.1990	12.0	11.8	12.7	13.0	14.1	14.1	12.7	13.2	9.4	9.1	11.0	11.4	144.5
Simplon-Dorf	1465	2647682 / 1116339	01.1961-12.1990	8.8	9.1	9.6	8.9	11.8	10.0	8.6	9.6	7.7	8.8	9.9	8.5	111.3
Sion	482	2591632 / 1118583	01.1961-12.1990	7.0	6.3	6.9	5.9	7.2	7.6	7.6	8.2	5.6	6.0	6.9	7.4	82.6
Sissach	374	2627500 / 1257130	01.1961-12.1990	12.0	11.2	12.0	12.8	13.5	12.8	10.5	12.7	8.8	8.8	11.4	11.3	137.8
Soglio	1086	2761393 / 1134473	01.1961-12.1990	5.5	5.7	7.6	9.3	12.7	11.5	9.9	10.8	8.2	7.6	7.6	5.4	101.8
Sonogno	910	2703884 / 1134026	01.1961-12.1990	6.7	7.6	8.6	10.0	13.2	10.8	9.4	10.4	8.3	8.5	8.7	6.4	108.6
Splügen	1460	2744420 / 1157434	01.1961-12.1990	9.2	8.0	9.5	11.0	13.0	12.9	11.6	12.5	9.1	8.5	9.4	8.2	122.9
St. Antönien	1456	2781634 / 1205103	01.1961-12.1990	12.3	10.7	13.1	12.9	13.9	15.5	15.4	14.8	10.5	8.5	10.3	10.8	148.7
St. Gallen	775	2747865 / 1254587	01.1961-12.1990	12.0	10.5	12.7	13.6	14.8	14.7	13.8	13.9	9.8	8.8	11.2	11.5	147.3
St. Peterzell	700	2731250 / 1242139	01.1961-12.1990	13.2	11.9	14.0	13.9	14.8	14.9	13.9	13.9	10.3	9.0	12.0	12.6	154.4
St. Urban	488	2630369 / 1229411	01.1961-12.1990	12.0	10.8	12.6	12.1	13.4	11.8	11.0	11.9	8.5	8.2	10.9	11.4	134.6
Sta. Maria, Val Müstair	1386	2828862 / 1165579	01.1961-12.1990	6.0	5.2	6.3	7.4	10.5	9.6	10.4	10.6	7.1	7.1	7.3	5.4	92.9
Stabio	351	2716048 / 1077971	01.1961-12.1990	5.7	5.9	7.9	10.3	11.8	10.0	7.9	8.9	6.9	7.8	8.2	5.5	96.8
Stalden / Ackersand	701	2633608 / 1121114	01.1961-12.1990	5.3	5.8	5.8	4.6	6.9	6.8	6.3	7.2	5.5	5.7	6.3	6.1	72.3
Stallikon	754	2680334 / 1239849	01.1961-12.1990	11.9	10.8	12.4	12.6	13.7	13.6	12.2	12.5	9.1	9.3	11.4	11.5	141.0
Stans	439	2669015 / 1202411	01.1961-12.1990	9.9	10.2	11.9	12.8	13.8	14.2	13.1	13.6	9.1	8.2	10.5	10.4	137.7
Starkenbach	897	2737313 / 1227575	01.1961-12.1990	13.4	11.5	13.9	13.4	14.9	16.1	14.9	14.7	10.5	9.2	12.1	12.5	157.1
Steckborn	399	2715170 / 1280179	01.1961-12.1990	11.3	10.0	11.3	11.3	13.2	11.8	11.0	11.3	8.3	8.5	10.2	10.9	129.1
Stiegelschwand	1456	2607170 / 1148545	01.1961-12.1990	11.8	11.9	14.1	14.3	15.1	16.5	14.8	14.3	9.8	8.8	11.5	12.0	154.9
Stöckalp	1070	2664320 / 1183549	01.1961-12.1990	11.7	11.6	14.1	14.0	15.1	16.0	14.7	14.5	10.7	8.9	11.6	11.8	154.7
Sulgen	445	2731025 / 1267174	01.1961-12.1990	11.6	10.5	11.8	12.4	14.0	12.8	12.3	12.4	9.1	8.8	10.6	10.7	137.0
Susch	1416	2802002 / 1181593	01.1961-12.1990	7.7	6.0	7.0	8.2	11.0	11.4	11.5	11.6	8.0	6.6	7.8	7.2	104.0
Säntis	2501	2744188 / 1234920	01.1961-12.1990	14.9	13.2	15.1	15.5	16.0	17.1	16.0	15.9	11.8	10.4	12.4	13.9	172.2
Tamins	668	2750155 / 1188621	01.1961-12.1990	9.7	8.6	9.9	10.2	12.0	12.5	11.6	12.6	9.1	7.7	9.2	9.5	122.6
Tavanasa	800	2722750 / 1178979	01.1961-12.1990	10.0	8.7	10.0	10.1	11.7	12.0	11.5	12.5	9.3	8.2	9.7	10.1	123.8
Teufen, AR	834	2747784 / 1250408	01.1961-12.1990	13.1	11.5	13.4	14.0	15.2	15.1	14.4	14.0	10.7	9.1	11.7	12.0	154.2
Thierrens	770	2547569 / 1172610	01.1961-12.1990	11.7	10.2	11.5	11.1	13.2	11.3	9.2	10.1	8.2	8.5	10.6	10.9	126.5
Thun	570	2611200 / 1177640	01.1961-12.1990	9.7	9.0	10.7	11.7	14.0	13.2	11.8	12.4	8.6	8.3	9.2	9.6	128.2
Thundorf	560	2714740 / 1267439	01.1961-12.1990	11.5	10.3	11.1	11.5	12.9	12.1	11.4	11.9	8.6	8.4	10.8	10.3	130.8
Thusis	672	2753155 / 1175088	01.1961-12.1990	7.4	6.6	7.8	8.2	9.9	10.7	10.2	10.7	7.9	6.6	8.2	7.4	101.6
Tiefencastel	897	2763442 / 1170267	01.1961-12.1990	6.8	5.8	7.1	7.2	10.1	11.3	11.1	10.8	8.0	6.5	7.1	7.6	99.4
Torricella / Crana	1002	2712695 / 1103744	01.1961-12.1990	6.5	7.7	8.8	11.4	14.9	12.4	9.9	11.1	8.8	8.8	8.9	6.5	115.7
Tour de Gourze	915	2546452 / 1151241	01.1961-12.1990	12.0	10.7	12.1	11.6	13.1	11.9	9.5	10.4	8.5	9.0	10.9	10.9	130.6
Trogen	975	2752170 / 1251769	01.1961-12.1990	13.0	11.6	13.4	13.8	15.3	15.4	14.2	13.9	10.9	8.8	12.3	12.5	155.1
Trun	834	2719985 / 1178223	01.1961-12.1990	9.5	8.5	10.2	10.0	11.7	11.6	10.9	12.4	9.1	8.4	9.5	9.4	121.2
Tschiertschen	1273	2765538 / 1187678	01.1961-12.1990	9.3	8.7	10.0	10.6	12.3	13.1	12.3	12.7	8.7	7.5	9.2	9.5	123.9
Uerikon	415	2699740 / 1232469	01.1961-12.1990	11.5	11.4	12.0	12.6	13.4	13.9	12.6	13.4	9.2	8.7	10.9	11.7	141.3
Ulrichen	1345	2666747 / 1150766	01.1961-12.1990	10.4	9.2	10.2	9.5	11.5	10.0	9.5	11.2	7.9	8.7	9.5	9.8	117.4
Unterkulm	454	2650838 / 1241212	01.1961-12.1990	11.5	11.0	12.3	11.8	12.7	12.4	11.1	11.5	8.3	8.1	10.9	10.5	132.1
Unterschächen	1470	2701900 / 1191999	01.1961-12.1990	12.4	11.7	14.5	13.4	15.2	15.8	16.2	14.9	10.6	8.8	11.1	12.4	157.0
Urnerboden	1395	2712650 / 1195249	01.1961-12.1990	12.7	11.7	14.2	14.5	14.9	15.7	15.7	15.8	11.2	9.7	11.5	12.2	159.8
