Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Hitzetage (Maximum 30 Grad C oder höher) / Anzahl / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Nyon / Changins	458	2506877 / 1139573	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.5	2.5	1.3	0.2	0.0	0.0	0.0	4.5
Payerne	490	2562130 / 1184611	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.3	2.3	1.4	0.0	0.0	0.0	0.0	4.0
Poschiavo / Robbia	1078	2801993 / 1136248	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2
Pully	455	2540819 / 1151510	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.3	1.5	0.7	0.0	0.0	0.0	0.0	2.5
Samedan	1708	2787250 / 1155684	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Schaffhausen	438	2688703 / 1282803	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.7	2.4	1.6	0.0	0.0	0.0	0.0	4.7
Sion	482	2591632 / 1118583	01.1961-12.1990	0.0	0.0	0.0	0.0	0.1	2.0	5.2	3.1	0.2	0.0	0.0	0.0	10.6
St. Gallen	775	2747865 / 1254587	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1
Säntis	2501	2744188 / 1234920	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zürich / Fluntern	555	2685117 / 1248065	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.3	1.7	0.6	0.0	0.0	0.0	0.0	2.6
Zürich / Kloten	426	2682711 / 1259338	01.1961-12.1990	0.0	0.0	0.0	0.0	0.1	0.6	2.6	1.4	0.1	0.0	0.0	0.0	4.8

