stn;time;tso010m0;pva200m0;nto000m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;ets150m0;tre005mn;ure200mn
SAM;202106;14.1;9.4;58;285;832.4;24.5;-2.8;11.9;0;39.0;70.3;0;204.1;59;2.7;86.56;-5.4;17.9
SAM;202107;14.7;10.4;66;224;830.6;23.0;1.1;12.2;0;150.8;75.3;0;160.5;47;2.7;86.93;-1.1;19.7
SAM;202108;14.2;9.6;58;224;830.9;24.3;-1.5;11.0;0;110.2;75.0;0;185.3;59;2.8;89.85;-4.1;25.9
SAM;202109;11.9;8.8;52;187;833.2;19.9;-4.0;9.2;0;61.3;77.9;0;182.3;67;2.1;58.41;-6.9;15.4
SAM;202110;6.0;5.3;43;122;831.6;14.2;-9.2;2.7;0;22.7;72.1;0;152.4;62;2.4;30.38;-12.7;13.2
SAM;202111;0.4;4.3;56;77;825.5;9.1;-19.2;-3.5;57;77.0;85.9;13;103.2;50;1.4;6.80;-22.4;33.1
SAM;202112;-0.1;2.9;43;61;825.2;8.6;-22.1;-7.8;50;27.6;80.2;30;109.9;55;1.3;6.35;-27.2;32.2
SAM;202201;-0.4;2.4;36;81;831.6;5.9;-23.2;-8.0;31;11.2;69.0;29;147.3;71;1.9;7.16;-27.7;15.0
SAM;202202;-0.4;2.7;49;119;828.9;8.8;-25.3;-5.9;66;27.6;66.7;66;128.9;62;2.4;6.35;-27.7;14.6
SAM;202203;-0.4;3.2;33;187;830.9;11.2;-22.6;-3.2;1;2.3;64.9;39;205.5;76;2.0;9.93;-24.8;12.3
SAM;202204;2.9;4.5;56;233;823.6;16.0;-12.8;2.1;5;21.0;63.9;4;181.6;62;3.1;11.43;-15.3;13.5
SAM;202205;11.6;8.1;69;243;831.1;21.9;-1.9;9.4;0;51.7;71.2;0;166.6;50;2.8;21.47;-6.4;23.9
SAM;202206;15.0;10.1;56;262;832.3;25.3;-0.3;12.5;0;111.0;72.3;0;203.7;58;2.8;83.31;-2.6;20.5
SAM;202207;17.1;10.2;45;289;834.9;26.3;0.0;14.1;0;54.8;66.5;0;250.6;73;2.9;151.44;-1.9;19.8
SAM;202208;16.2;10.2;54;243;831.8;25.9;0.3;13.2;0;50.4;71.1;0;218.7;70;2.5;117.96;-2.2;13.7
SAM;202209;11.5;7.8;62;163;827.7;22.9;-6.8;7.7;0;81.3;74.0;0;141.5;52;2.7;56.35;-10.3;16.9
SAM;202210;8.7;7.3;47;119;835.2;19.1;-4.3;6.5;0;95.8;78.1;0;152.9;63;1.9;27.47;-7.8;15.9
SAM;202211;1.8;4.6;56;75;826.9;10.3;-16.4;-1.4;22;38.3;81.9;3;110.6;54;1.5;8.86;-19.6;25.8
SAM;202212;-0.1;3.6;57;57;824.8;5.9;-26.2;-5.7;30;25.1;83.3;18;90.2;45;1.5;4.95;-31.4;26.2
SAM;202301;-0.3;2.9;54;73;825.6;7.2;-22.9;-7.2;20;17.9;75.5;18;112.9;54;1.7;5.13;-24.7;9.8
SAM;202302;-0.6;2.9;35;127;832.8;10.4;-22.4;-4.5;3;1.0;66.3;16;160.6;77;2.4;7.12;-25.0;15.3
SAM;202303;-0.2;4.3;59;167;823.2;12.1;-13.3;-0.1;19;34.0;69.2;4;155.5;58;3.0;7.17;-15.4;13.6
SAM;202304;4.6;4.5;63;217;824.4;14.6;-11.5;1.7;18;49.0;65.7;1;147.3;50;2.7;9.58;-13.7;12.1
SAM;202305;10.8;7.4;74;220;828.7;19.5;-3.4;7.6;0;77.4;72.6;0;123.7;37;2.8;17.19;-6.5;26.7
SAM;202306;15.1;9.4;61;269;830.8;25.5;0.7;12.0;0;40.7;69.8;0;190.1;54;2.7;85.10;-2.1;22.0
SAM;202307;15.9;10.9;60;251;831.7;26.5;-1.9;13.3;0;118.3;73.7;0;185.3;54;3.2;97.09;-3.9;21.9
SAM;202308;15.3;10.5;63;211;831.4;27.7;-0.8;12.8;0;147.0;72.8;0;160.4;51;2.8;86.85;-3.3;26.6
SAM;202309;13.7;9.9;44;186;833.7;25.6;-2.5;10.8;0;84.3;78.2;0;191.6;70;2.3;60.12;-5.5;21.1
SAM;202310;8.9;7.1;59;118;828.4;21.1;-6.9;6.1;5;157.6;77.8;0;146.1;60;2.1;29.92;-11.1;14.0
SAM;202311;1.5;4.2;67;76;821.1;8.2;-19.0;-2.2;50;64.3;78.8;10;82.1;40;2.1;8.30;-23.2;25.9
SAM;202312;0.4;3.7;60;57;826.9;9.6;-22.8;-4.8;96;80.4;82.1;48;89.5;45;1.8;4.94;-23.1;15.9
SAM;202401;0.2;3.0;49;75;827.6;11.1;-27.0;-6.3;32;23.3;73.4;54;121.7;59;2.0;5.79;-31.8;19.9
