stn;time;tso010m0;tre005mn;pva200m0;ets150m0;nto000m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;ure200mn
OTL;202004;13.5;-2.1;8.4;89.82;44;225;973.1;25.7;1.8;14.3;0;78.1;53.7;0;255.6;68;1.7;4.0
OTL;202005;18.3;4.4;12.2;98.95;55;271;972.9;29.5;7.4;17.7;0;174.5;62.6;0;266.3;65;1.8;14.9
OTL;202006;20.2;8.3;14.7;89.00;57;255;968.9;31.3;10.9;19.5;0;263.9;67.4;0;217.3;54;1.6;21.0
OTL;202007;23.4;12.7;17.3;125.18;41;295;972.3;34.1;15.8;23.2;0;35.6;61.7;0;309.1;75;1.8;20.6
OTL;202008;23.1;9.7;17.2;99.81;51;230;970.2;34.4;12.3;23.0;0;331.9;62.5;0;257.1;65;1.7;20.5
OTL;202009;20.5;3.1;15.6;55.40;48;182;972.8;27.9;6.8;18.8;0;87.0;71.1;0;224.5;65;1.3;21.6
OTL;202010;14.2;2.2;10.2;29.32;65;101;970.8;21.0;6.2;12.0;0;370.9;72.7;0;141.2;48;1.4;16.8
OTL;202011;11.1;-2.5;8.2;21.58;28;88;980.6;17.3;1.4;9.4;0;2.1;68.6;0;186.2;81;0.9;13.6
OTL;202012;6.0;-4.8;6.6;4.28;76;34;967.2;10.8;-1.8;4.1;38;172.7;80.2;3;48.8;23;0.9;14.5
OTL;202101;3.3;-8.4;5.2;5.25;56;63;967.4;13.7;-4.5;2.8;13;115.8;70.7;1;113.1;50;1.1;15.7
OTL;202102;5.9;-7.5;6.3;13.20;50;103;976.0;19.6;-4.1;7.0;0;72.9;63.2;0;140.6;57;1.3;17.8
OTL;202103;8.7;-4.3;5.4;65.16;38;191;976.1;23.0;1.1;9.6;0;15.1;45.4;0;262.6;78;1.9;14.3
OTL;202104;12.0;-2.8;6.8;88.51;53;211;972.2;26.5;1.2;11.3;0;96.8;51.3;0;225.4;60;1.9;9.8
OTL;202105;15.8;4.6;9.3;100.51;59;250;969.8;23.9;8.1;14.8;0;180.1;57.8;0;233.0;57;1.9;12.4
OTL;202106;21.2;9.3;15.8;94.60;58;274;973.4;33.7;13.1;21.7;0;72.6;62.4;0;228.5;57;1.6;20.3
OTL;202107;21.8;9.3;16.8;90.21;57;230;970.7;33.1;11.7;21.4;0;421.6;67.9;0;210.8;51;1.5;24.1
OTL;202108;22.6;10.2;16.1;103.14;40;245;971.2;31.2;14.1;21.3;0;177.8;64.3;0;286.6;72;1.4;22.9
OTL;202109;20.8;8.4;15.6;49.67;56;172;975.3;26.6;10.5;18.9;0;163.5;72.5;0;201.7;59;1.1;39.6
OTL;202110;15.4;2.1;10.4;32.74;47;114;976.5;21.1;5.4;12.2;0;134.2;73.0;0;177.2;60;1.1;21.9
OTL;202111;10.6;-2.9;8.3;15.25;52;71;971.1;16.5;0.0;7.9;1;145.2;76.8;0;127.7;56;1.1;17.8
OTL;202112;5.9;-4.1;5.5;14.05;45;61;971.3;16.0;-0.6;5.4;10;16.0;61.9;0;143.8;68;1.0;15.4
OTL;202201;4.8;-4.9;4.4;11.26;19;83;978.1;20.5;-1.0;6.0;0;8.2;48.2;0;191.8;85;1.3;8.6
OTL;202202;6.1;-4.3;4.7;20.05;31;128;976.0;17.9;-0.2;7.6;4;15.5;45.9;0;205.2;83;1.6;6.3
OTL;202203;8.4;-5.6;5.3;56.68;47;162;979.3;21.2;-0.3;8.8;0;9.6;48.6;0;212.9;63;1.6;10.3
OTL;202204;12.5;-0.6;7.5;84.94;55;219;968.5;27.1;3.1;12.6;0;102.8;52.8;0;232.1;62;2.0;8.6
OTL;202205;18.5;4.2;13.8;82.52;63;249;973.5;28.9;8.8;18.5;0;91.3;66.3;0;239.1;59;1.7;18.0
OTL;202206;21.6;9.6;16.1;110.57;45;268;972.4;31.3;12.9;22.1;0;261.0;62.3;0;263.8;65;1.5;20.4
OTL;202207;24.1;13.3;16.9;151.40;37;301;974.1;34.7;16.4;24.9;0;101.9;54.9;0;323.3;78;1.5;19.5
OTL;202208;23.8;12.9;16.6;120.01;45;255;971.3;34.9;16.1;23.8;0;121.4;57.9;0;289.9;73;1.5;22.6
OTL;202209;20.4;6.3;13.4;62.36;54;173;969.8;27.7;9.4;17.7;0;212.8;66.1;0;196.8;57;1.4;19.2
OTL;202210;17.3;7.8;13.7;29.20;57;118;978.6;24.4;10.2;15.9;0;213.7;76.6;0;186.8;63;1.0;38.5
OTL;202211;12.2;-1.0;7.9;20.54;55;74;972.4;19.2;3.5;9.5;0;57.1;66.5;0;138.0;60;1.1;21.4
OTL;202212;6.9;-6.1;6.3;8.42;61;53;972.6;13.9;-2.2;4.9;3;87.7;71.9;0;98.0;46;0.9;15.1
OTL;202301;6.2;-4.8;5.5;6.45;61;64;972.9;13.2;-1.4;5.2;0;15.6;62.0;0;118.5;53;1.1;14.1
OTL;202302;6.6;-7.2;5.5;12.90;39;112;980.5;19.5;-2.8;7.5;1;2.4;53.9;0;165.0;67;1.5;12.9
OTL;202303;10.0;-3.2;7.0;48.19;57;165;969.2;20.1;0.2;10.5;0;77.3;55.8;0;219.3;65;1.8;10.6
OTL;202304;12.5;-1.4;7.1;85.28;59;206;969.2;21.3;3.5;12.6;0;150.9;50.3;0;216.7;58;1.9;8.9
OTL;202305;17.4;5.3;12.8;56.11;75;215;972.0;27.0;9.4;16.3;0;232.7;70.7;0;173.1;42;1.6;21.5
OTL;202306;22.3;11.4;16.0;98.33;56;291;971.8;30.4;14.6;21.3;0;175.9;64.9;0;268.3;66;1.7;21.1
OTL;202307;23.9;10.8;18.4;106.80;49;273;971.5;32.9;14.9;23.2;0;106.7;65.0;0;275.2;67;1.6;20.4
OTL;202308;22.7;10.4;17.1;105.83;48;238;970.9;34.9;12.9;23.0;0;330.5;60.9;0;266.9;67;1.7;18.4
OTL;202309;20.3;6.8;16.4;55.31;49;174;975.4;28.5;10.3;19.6;0;299.3;72.5;0;223.0;65;1.3;25.9
OTL;202310;17.5;5.5;13.2;31.30;61;108;971.2;26.6;8.7;15.7;0;269.2;74.7;0;160.1;54;1.2;16.8
OTL;202311;10.5;-2.7;6.4;23.95;41;79;966.5;20.9;1.7;8.2;0;65.5;59.5;0;146.7;64;1.3;9.6
OTL;202312;7.2;-4.0;6.1;12.13;53;52;973.1;22.3;-0.8;7.2;0;83.8;63.0;0;112.3;53;1.1;7.3
OTL;202401;5.5;-6.3;5.3;7.10;44;69;974.8;21.4;-1.9;5.6;0;49.1;59.8;0;140.0;62;1.1;8.3
