stn;time;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;ure200mn
SAE;201902;2.3;131;753.5;5.6;-14.8;-3.2;103;112.4;51.7;492;189.5;66;7.0;-;5.1
SAE;201903;2.8;158;749.9;5.6;-13.9;-5.0;125;486.4;71.5;530;156.4;43;9.5;-;6.5
SAE;201904;3.8;210;746.9;5.1;-10.5;-2.8;80;119.1;77.7;550;150.1;38;5.0;-;7.5
SAE;201905;4.6;205;748.6;4.1;-12.2;-2.4;255;465.6;88.7;642;104.5;23;5.6;-;6.8
SAE;201906;7.3;307;757.4;21.0;-4.0;8.4;2;113.0;68.8;450;267.8;59;4.7;-;7.2
SAE;201907;8.9;229;756.8;18.6;0.7;7.8;0;226.9;83.6;90;180.0;39;4.5;-;8.9
SAE;201908;8.1;215;758.2;16.6;-0.7;8.1;0;284.6;76.0;0;213.1;51;4.7;-;6.7
SAE;201909;6.1;168;756.6;14.9;-3.1;4.7;31;213.6;73.8;3;179.6;50;5.4;-;6.9
SAE;201910;5.5;100;752.7;11.3;-7.5;2.8;52;333.0;76.1;3;132.1;40;7.9;-;16.7
SAE;201911;3.8;62;740.3;5.0;-10.8;-4.0;94;180.4;82.4;22;74.7;27;6.8;-;18.0
SAE;201912;3.0;48;746.9;4.2;-13.6;-3.9;181;453.9;67.7;111;98.0;38;9.2;-;6.9
SAE;202001;2.6;74;754.1;4.4;-15.1;-3.7;80;215.8;60.1;204;161.9;59;7.4;-;6.1
SAE;202002;3.2;74;749.0;6.9;-14.3;-5.2;199;657.5;75.1;314;87.0;29;12.4;-;7.2
SAE;202003;3.2;161;747.2;2.0;-13.5;-5.5;168;226.3;77.4;421;171.6;47;6.9;-;4.6
SAE;202004;4.3;246;751.7;6.8;-8.6;0.3;23;65.7;67.2;353;242.0;62;4.0;-;6.4
SAE;202005;5.6;240;754.1;9.7;-7.6;1.2;42;160.9;83.6;273;177.8;40;4.1;-;6.8
SAE;202006;7.0;203;752.6;13.4;-2.4;3.7;24;324.3;88.5;135;119.8;26;4.5;-;7.4
SAE;202007;8.6;236;757.6;17.0;-2.3;6.7;0;214.3;86.5;0;186.9;41;5.2;-;23.1
SAE;202008;8.3;196;756.3;17.6;-1.6;7.6;15;290.1;80.3;1;177.6;42;4.5;-;10.2
SAE;202009;7.3;176;755.6;15.6;-7.9;5.3;44;190.1;82.4;6;176.9;49;4.1;-;20.7
SAE;202010;4.5;101;749.1;11.6;-9.4;-0.9;99;266.3;81.3;22;102.1;31;7.5;-;10.2
SAE;202011;3.7;89;756.4;8.2;-11.8;0.4;30;53.1;59.2;16;196.6;71;5.4;-;2.2
SAE;202012;3.0;50;741.2;4.2;-16.3;-6.0;144;173.0;75.3;80;89.1;34;6.8;-;2.0
SAE;202101;2.4;57;740.2;-0.4;-16.3;-9.6;297;663.8;76.8;243;85.1;31;8.5;-;6.8
SAE;202102;2.7;113;749.1;7.3;-17.0;-3.8;55;161.3;58.9;388;142.3;50;7.7;-;2.0
SAE;202103;2.3;166;750.6;7.2;-17.3;-6.3;187;295.2;66.7;430;162.3;45;5.6;-;3.3
SAE;202104;3.3;235;748.4;4.3;-17.6;-5.7;87;62.4;80.1;440;174.6;44;4.4;-;4.2
SAE;202105;4.5;229;748.6;8.8;-9.4;-2.3;161;382.6;87.6;457;111.2;25;7.5;-;12.5
SAE;202106;7.9;277;757.4;16.6;-1.3;6.8;3;219.0;81.2;345;197.2;43;3.5;-;4.2
SAE;202107;8.5;198;755.7;14.7;-0.8;6.3;0;526.2;89.6;55;119.1;26;5.2;-;26.6
SAE;202108;7.9;177;755.9;16.9;-1.9;4.9;7;348.1;90.8;0;101.3;24;5.5;-;37.1
SAE;202109;6.6;185;757.6;13.0;-4.1;5.6;10;143.9;73.6;0;189.2;52;4.0;-;3.2
SAE;202110;3.9;130;754.3;10.0;-8.4;0.9;38;100.8;60.7;7;168.7;51;6.5;-;3.9
SAE;202111;3.3;72;747.7;7.4;-15.4;-3.1;172;198.0;70.1;26;122.6;44;5.9;-;3.7
SAE;202112;3.0;51;746.8;5.9;-15.6;-4.7;261;407.5;71.1;248;101.6;39;8.8;-;1.5
SAE;202201;2.4;67;752.8;6.1;-16.3;-6.1;147;213.1;63.7;280;131.8;48;8.5;-;2.2
SAE;202202;2.6;100;749.6;3.7;-14.4;-6.7;229;410.2;71.5;385;112.0;39;9.0;-;0.5
SAE;202203;2.4;194;752.3;3.7;-13.0;-3.8;20;20.6;48.4;423;253.5;70;4.6;-;0.5
SAE;202204;3.8;226;746.6;6.9;-15.1;-3.1;113;229.5;77.6;421;165.1;42;6.0;-;2.2
SAE;202205;6.8;222;755.4;15.0;-4.8;3.0;15;136.1;88.6;343;144.3;32;5.0;-;34.3
SAE;202206;8.2;265;757.2;18.2;-1.9;7.7;6;254.9;79.1;95;212.3;47;5.4;-;12.3
SAE;202207;8.4;252;760.6;17.9;0.0;8.6;0;164.3;76.1;0;209.6;46;4.0;-;8.1
SAE;202208;8.2;237;757.6;17.0;2.8;8.4;0;261.1;75.3;0;234.2;56;3.4;-;6.4
SAE;202209;6.3;139;751.8;14.0;-5.6;2.2;75;362.7;87.8;10;106.2;29;6.9;-;12.6
SAE;202210;6.0;106;758.6;13.1;-2.4;5.0;0;193.6;71.8;5;145.0;44;6.4;-;2.8
SAE;202211;3.5;67;749.1;8.7;-9.8;-2.3;114;208.9;72.5;30;91.2;33;6.5;-;9.5
SAE;202212;3.4;48;745.9;5.4;-17.1;-4.9;84;184.8;75.4;119;80.4;31;8.9;-;6.5
SAE;202301;2.7;62;746.7;4.5;-18.0;-7.2;114;202.6;73.1;180;93.8;34;9.8;-;1.4
SAE;202302;2.3;118;754.2;4.6;-17.7;-5.1;117;131.9;57.8;235;161.9;56;7.4;-;0.8
SAE;202303;3.3;143;745.2;6.8;-14.4;-4.6;169;461.3;75.7;288;142.8;39;9.3;-;2.7
SAE;202304;3.8;203;747.2;3.8;-14.6;-4.7;216;376.5;85.4;377;119.5;30;6.3;-;5.7
SAE;202305;6.0;235;753.0;7.3;-7.0;1.3;100;239.5;89.5;337;133.4;30;4.1;-;5.1
SAE;202306;7.7;265;756.2;16.4;2.0;6.4;0;128.5;80.4;156;219.5;48;3.4;-;6.4
SAE;202307;8.9;217;756.7;18.2;-2.3;7.5;7;349.5;86.2;2;143.7;31;7.3;-;25.9
SAE;202308;8.6;186;756.9;20.7;-2.5;7.8;27;382.3;81.8;2;163.7;39;5.8;-;31.2
SAE;202309;7.5;184;758.6;17.6;-4.3;8.4;15;141.7;69.7;1;208.6;58;4.9;-;2.7
SAE;202310;5.2;114;752.0;15.5;-6.5;3.8;42;226.6;67.5;2;159.6;48;7.4;-;2.5
SAE;202311;3.7;51;742.8;3.1;-15.0;-5.2;306;773.2;87.9;111;43.2;16;10.3;-;2.1
SAE;202312;3.2;44;748.2;5.9;-16.7;-4.5;265;533.7;75.5;308;76.3;29;10.9;-;6.3
SAE;202401;2.8;57;748.8;5.2;-17.4;-5.3;139;339.2;68.3;414;132.4;48;9.8;-;3.5
