stn;time;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;ure200mn
SAE;200407;7.7;212;756.0;14.6;-2.7;5.3;18;241.4;85.7;173;144.1;30;3.7;73;2.6
SAE;200408;8.2;203;754.7;15.8;-1.2;6.5;1;252.2;85.0;7;160.4;38;3.4;76;18.9
SAE;200409;6.3;163;756.8;13.3;-5.8;4.2;36;199.9;78.5;5;163.0;45;3.8;65;5.3
SAE;200410;5.8;115;749.8;12.3;-7.9;2.2;22;132.5;81.4;4;136.7;41;4.3;79;16.1
SAE;200411;3.3;64;749.5;8.0;-16.1;-4.6;86;141.4;73.1;36;93.4;34;5.4;73;3.2
SAE;200412;2.5;64;748.1;3.8;-15.5;-4.8;76;160.5;60.3;80;155.2;60;4.4;47;3.4
SAE;200501;2.1;67;748.8;3.4;-22.4;-8.7;258;322.0;64.8;200;116.0;42;5.8;63;2.9
SAE;200502;1.7;106;741.4;-0.6;-24.0;-12.5;262;200.0;76.5;421;122.6;43;4.2;63;6.2
SAE;200503;3.2;166;746.3;5.5;-21.5;-6.4;75;145.0;75.5;465;176.1;49;4.8;69;11.4
SAE;200504;3.9;213;747.1;6.3;-12.3;-3.3;108;215.7;79.8;403;157.6;41;3.6;71;3.1
SAE;200505;5.5;237;752.5;13.4;-9.1;1.0;81;289.6;83.0;426;177.5;39;3.2;72;5.4
SAE;200506;7.2;254;756.7;16.7;-8.0;5.0;9;172.9;82.2;284;192.6;40;2.7;71;2.9
SAE;200507;7.9;196;755.4;18.6;-2.5;5.5;7;264.1;87.9;70;127.8;27;4.3;79;23.1
SAE;200508;7.4;171;754.8;13.3;-3.6;4.1;12;433.4;90.5;1;120.2;29;2.9;78;39.7
SAE;200509;7.3;163;755.9;13.2;-6.6;4.6;18;150.7;86.2;1;165.2;46;2.2;62;29.8
SAE;200510;4.8;136;755.8;13.4;-4.9;4.5;43;131.7;60.9;7;206.5;62;2.3;44;3.7
SAE;200511;3.2;73;748.1;8.6;-15.9;-4.9;50;60.6;71.0;15;120.0;43;4.6;62;11.4
SAE;200512;2.2;55;744.3;0.3;-21.5;-9.3;195;271.8;73.0;118;109.0;42;7.6;66;4.5
SAE;200601;1.8;80;748.9;3.2;-15.7;-7.3;71;136.4;54.3;246;180.7;66;6.5;45;4.1
SAE;200602;2.2;103;741.8;3.4;-18.2;-8.7;74;193.3;69.9;300;115.4;40;7.4;67;1.5
SAE;200603;3.0;140;741.0;5.1;-22.3;-7.6;161;483.2;80.9;385;109.7;30;8.5;75;7.7
SAE;200604;4.1;194;747.5;4.7;-13.1;-3.7;96;239.0;86.2;406;125.7;32;6.1;75;3.6
SAE;200605;5.5;200;752.4;8.7;-8.8;0.3;58;405.6;88.1;345;120.2;27;6.2;81;28.6
SAE;200606;7.2;286;758.0;15.3;-8.6;5.0;16;114.0;79.7;271;233.9;51;3.4;64;6.7
SAE;200607;9.2;258;760.9;16.4;3.7;9.9;0;140.8;76.8;33;232.5;51;2.5;56;3.4
SAE;200608;6.7;136;751.5;10.4;-4.0;2.0;53;490.6;94.7;4;69.3;17;5.5;90;4.8
SAE;200609;7.1;182;756.2;17.6;0.7;7.4;0;230.2;71.9;2;199.5;55;4.1;60;4.5
SAE;200610;5.2;119;753.6;12.1;-4.0;4.1;4;141.0;65.8;0;180.1;54;5.2;61;2.4
SAE;200611;3.5;70;752.7;7.9;-15.7;-1.6;42;164.5;66.7;13;124.7;45;6.3;66;1.5
SAE;200612;2.4;64;754.7;6.7;-12.5;-3.0;80;111.9;52.0;55;161.3;62;6.6;39;4.3
SAE;200701;3.4;49;750.2;3.9;-19.8;-5.3;118;432.8;79.2;136;96.2;35;9.3;75;4.7
SAE;200702;2.9;95;744.9;5.0;-11.1;-4.7;97;294.1;69.5;219;140.0;49;7.2;63;3.7
SAE;200703;3.0;161;746.3;3.1;-15.6;-5.6;143;78.3;76.3;358;186.1;51;5.9;62;6.0
SAE;200704;4.7;265;754.1;9.0;-9.0;1.5;8;11.6;68.5;330;297.7;76;3.7;41;5.9
SAE;200705;5.8;215;749.9;12.3;-6.5;2.0;66;356.7;82.7;196;171.8;38;5.4;74;14.3
SAE;200706;7.6;228;753.0;14.3;-3.2;4.7;8;298.2;88.8;100;158.6;35;4.8;79;33.3
SAE;200707;7.5;217;755.1;17.7;-3.5;5.4;31;377.2;85.1;3;184.5;40;6.2;71;10.5
SAE;200708;7.7;189;754.9;15.6;-1.2;5.6;0;282.3;85.2;0;173.9;41;4.1;66;4.6
SAE;200709;5.6;164;754.9;10.5;-6.8;1.4;61;174.1;83.3;7;161.5;45;4.9;66;6.2
SAE;200710;4.1;141;754.9;11.0;-13.5;0.4;31;46.6;65.8;11;206.2;62;5.4;55;2.4
SAE;200711;3.1;65;748.4;6.4;-17.3;-5.1;230;372.8;74.3;124;106.4;38;8.1;65;3.8
SAE;200712;2.3;52;750.6;1.2;-14.1;-6.4;155;371.1;60.8;297;135.0;52;8.2;54;1.8
SAE;200801;2.6;62;750.4;3.8;-14.8;-4.7;59;173.2;61.2;339;134.5;49;6.0;62;1.8
SAE;200802;2.3;115;754.5;5.6;-14.0;-4.4;51;161.8;50.4;342;203.8;68;8.0;41;1.9
SAE;200803;3.0;136;739.5;2.7;-19.0;-8.0;259;518.7;84.2;464;120.0;33;8.9;84;8.9
SAE;200804;3.9;197;744.0;3.1;-16.3;-4.7;141;401.9;88.4;659;103.8;26;5.9;85;13.4
SAE;200805;5.6;258;751.5;12.2;-6.1;2.2;17;51.0;78.6;552;189.5;42;3.9;63;9.0
SAE;200806;7.8;239;755.2;15.5;-4.3;5.0;12;114.9;88.4;276;141.2;31;4.2;79;34.2
SAE;200807;7.7;216;755.8;14.2;-2.5;5.6;20;262.2;84.4;103;168.7;37;5.5;74;15.9
SAE;200808;7.8;206;755.5;14.9;-2.3;6.4;12;208.0;81.7;1;185.3;44;5.4;68;10.5
SAE;200809;5.6;158;753.4;14.9;-5.9;2.0;24;139.0;77.7;2;151.0;42;4.7;69;3.3
SAE;200810;5.2;110;752.9;9.7;-9.8;0.9;57;147.5;80.3;6;149.2;45;6.6;68;2.0
SAE;200811;3.3;71;746.7;5.2;-17.4;-4.3;68;147.1;71.7;28;126.5;46;6.9;63;5.0
SAE;200812;2.7;52;746.1;1.1;-13.7;-6.8;159;234.8;74.0;155;112.6;44;7.1;62;5.9
SAE;200901;2.0;74;742.5;-0.9;-16.3;-7.8;47;90.6;59.5;211;174.2;63;6.0;42;2.4
SAE;200902;2.5;94;741.8;3.0;-18.9;-9.7;209;268.7;81.3;319;86.4;30;6.7;76;4.2
SAE;200903;2.8;145;744.4;2.3;-16.2;-7.5;135;322.9;80.7;460;111.0;31;7.7;81;3.0
SAE;200904;4.3;223;748.6;3.4;-8.5;-1.2;30;24.4;77.1;412;203.2;52;4.8;63;26.9
