"name";"nat_abbr";"wmo_ind";"chx";"chy";"lon";"lat";"height";"climate.region";"climate.region.nr";"first.year.daily.obs";"last.year.daily.obs";"nr.years.daily.obs.in.standard.per";"nr.na.years.daily.obs.in.standard.per";"first.year.hourly.obs";"last.year.hourly.obs";"nr.years.hourly.obs";"nr.na.years.hourly.obs";"has.hourly.data"
"Genève / Cointrin";"GVE";"6700";2498904.439;1122631.739;6.12774166666667;46.2475194444444;410.88;"Westliches Mittelland";5;1961;2020;60;0;1982;2021;40;0;TRUE
"Grindelwald";"GWA";NA;2643511.3;1163246.8;8.0067;46.6190555555556;1107;"Westlicher Alpennordhang";8;1962;2020;58;1;NA;NA;NA;NA;FALSE
"Salen-Reutenen";"HAI";"6623";2719100.407;1279046.641;9.02391111111111;47.6512416666667;718.7;"Nordöstliches Mittelland";3;1961;2020;60;0;2010;2020;10;1;FALSE
"Hausen am Albis";"HAU";NA;2682060.827;1232659.879;8.52245;47.2397583333333;590;"Zentrales Mittelland";4;1977;2020;44;0;NA;NA;NA;NA;FALSE
"Herzogenbuchsee";"HEB";NA;2620889.416;1226910.223;7.71428333333333;47.1928083333333;482;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Hessigkofen";"HEK";NA;2602350.308;1221220.35;7.46962222222222;47.1419555555556;580;"Zentrales Mittelland";4;1978;2020;43;0;NA;NA;NA;NA;FALSE
"Hérémence";"HER";NA;2597355.385;1114091.856;7.40438888888889;46.1782888888889;1218;"Wallis";10;1961;2020;58;2;NA;NA;NA;NA;FALSE
"Herisau";"HES";NA;2737730.71;1250829.694;9.26308055555556;47.3938833333333;700;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Hinwil";"HIW";NA;2706160.5;1240132.8;8.84245277777778;47.3035305555556;577;"Nordöstliches Mittelland";3;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Hallau";"HLL";"6624";2677456.5;1283471.8;8.47046388888889;47.6972777777778;419;"Nordöstliches Mittelland";3;1961;2020;60;0;2012;2020;9;0;FALSE
"Hondrich";"HON";NA;2618524.968;1169129.736;7.68073055555556;46.6731333333333;760;"Westlicher Alpennordhang";8;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Hoch-Ybrig";"HOY";NA;2702760.687;1207629.81;8.79010277777778;47.0117527777778;1458;"Zentraler Alpennordhang";7;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Herbetswil";"HTW";NA;2611291;1238440;7.58791666666667;47.2967472222222;544;"Westlicher Jura";2;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Huttwil";"HUT";NA;2630261.451;1218189.127;7.83736388888889;47.1140027777778;633;"Zentrales Mittelland";4;1973;2020;48;0;2014;2020;7;0;FALSE
"Ilanz";"ILZ";"6789";2735686.161;1181965.432;9.21535277777778;46.7750388888889;698;"Nord- und Mittelbünden";9;1961;2020;60;0;2014;2020;6;1;FALSE
"Innerthal";"INN";NA;2712079.736;1218325.833;8.91528333333333;47.1064388888889;903;"Östlicher Alpennordhang";6;1962;2020;59;0;2014;2020;6;1;FALSE
"Interlaken";"INT";"6734";2633023.186;1169091.904;7.87019444444444;46.6722333333333;577.34;"Westlicher Alpennordhang";8;1961;2020;60;0;1982;2021;40;0;TRUE
"Isenthal";"IST";NA;2685460.642;1196109.666;8.56044722222222;46.9105916666667;778;"Zentraler Alpennordhang";7;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Jaun";"JAU";NA;2587532.747;1162270.005;7.27589444444444;46.6115694444444;1029;"Westlicher Alpennordhang";8;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Jussy";"JUS";NA;2508909.482;1120364.144;6.25789722222222;46.2285527777778;466;"Westliches Mittelland";5;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Kaiserstuhl, AG";"KAI";NA;2673335.117;1269332.977;8.41323055555556;47.5706027777778;361;"Nordöstliches Mittelland";3;1961;2020;59;1;2019;2020;1;1;FALSE
"Küssnacht am Rigi";"KAR";NA;2675328.766;1216759.841;8.43089166666667;47.0975527777778;502;"Zentraler Alpennordhang";7;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Kandersteg";"KAS";NA;2618312.795;1149197.812;7.67716666666667;46.4938416666667;1178;"Westlicher Alpennordhang";8;1961;2020;60;0;2016;2020;5;0;FALSE
"Kirchberg, SG";"KIB";NA;2717906.6;1253595.4;9.00128333333333;47.4226;742;"Nordöstliches Mittelland";3;1976;2020;45;0;NA;NA;NA;NA;FALSE
"Klosters";"KLA";NA;2786857.94;1193365.918;9.88970277777778;46.8651527777778;1186;"Nord- und Mittelbünden";9;1961;2013;53;0;2014;2020;7;0;FALSE
"Zürich / Kloten";"KLO";"6670";2682711.05;1259338.639;8.53596111111111;47.4796111111111;426.26;"Nordöstliches Mittelland";3;1961;2020;60;0;1982;2021;40;0;TRUE
"Klöntal";"KLT";NA;2718775.72;1210699.753;9.00147777777778;47.0366888888889;855;"Östlicher Alpennordhang";6;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Koppigen";"KOP";"6635";2612663.291;1218664.689;7.60550277777778;47.11885;485.2;"Zentrales Mittelland";4;1962;2020;59;0;2012;2020;9;0;FALSE
"Kronberg";"KRO";NA;2742873.66;1239564.689;9.32758888888889;47.2914944444444;1645;"Östlicher Alpennordhang";6;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Kleine Scheidegg";"KSE";"6736";2639925.107;1159424.742;7.95955;46.5848972222222;2061;"Westlicher Alpennordhang";8;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Kurzeneialp";"KUA";NA;2630575.422;1207010.039;7.84074722222222;47.0134333333333;894;"Zentrales Mittelland";4;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Küsnacht, ZH";"KUE";NA;2686705.849;1240572.827;8.58531666666667;47.3103305555556;412;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Langenbruck";"LAB";NA;2624250.498;1244720.272;7.75959444444444;47.3528861111111;731;"Westlicher Jura";2;1961;2020;59;1;2013;2020;8;0;FALSE
"Lachen / Galgenen";"LAC";"6665";2707638.076;1226334.176;8.85868611111111;47.1791972222222;468;"Nordöstliches Mittelland";3;1961;2020;60;0;2016;2020;5;0;FALSE
"Langnau i.E.";"LAG";"6638";2628004.097;1198793.103;7.806425;46.9396333333333;743.8;"Zentraler Alpennordhang";7;1961;2020;60;0;2011;2020;9;1;FALSE
"Landquart";"LAN";NA;2762680.782;1203709.847;9.57642777777778;46.9645194444444;537;"Nord- und Mittelbünden";9;1961;2020;59;1;NA;NA;NA;NA;FALSE
"Laupen";"LAP";NA;2584946.033;1196242.155;7.24101111111111;46.9171083333333;483;"Zentrales Mittelland";4;1973;2020;48;0;NA;NA;NA;NA;FALSE
"Bergün / Latsch";"LAT";"6642";2777274.066;1166618.331;9.75370555555556;46.627275;1407.85;"Nord- und Mittelbünden";9;1974;2020;46;1;2015;2020;5;1;FALSE
"Lenzerheide";"LEH";NA;2761860.841;1175889.71;9.55579166666667;46.7145583333333;1400;"Nord- und Mittelbünden";9;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Leibstadt";"LEI";"06666";2656374.5;1272121.858;8.1882;47.5973611111111;341.08;"Östlicher Jura";1;1989;2020;32;0;1989;2021;33;0;TRUE
"Leukerbad";"LEU";NA;2614082.631;1135090.043;7.62163888888889;46.3670361111111;1286;"Wallis";10;1961;2020;60;0;2013;2020;7;1;FALSE
"Laufenburg";"LFB";NA;2646357.795;1266514.286;8.05443888888889;47.5477138888889;329;"Östlicher Jura";1;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Langnau am Albis";"LGA";NA;2682205.85;1237809.851;8.52530833333333;47.2860583333333;579;"Nordöstliches Mittelland";3;1973;2020;48;0;NA;NA;NA;NA;FALSE
"Pleigne";"LOB";NA;2587683.47;1251978.535;7.27542777777778;47.4185;738;"Östlicher Jura";1;1961;2020;59;1;NA;NA;NA;NA;FALSE
"Le Locle";"LOC";NA;2546612.574;1212177.511;6.73592222222222;47.0584694444444;1015;"Westlicher Jura";2;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Lohn, SH";"LOH";NA;2692911.176;1289774.662;8.67763611111111;47.7519444444444;585;"Nordöstliches Mittelland";3;1961;2020;60;0;2013;2020;8;0;FALSE
"Longirod";"LON";NA;2509386.502;1150106.641;6.25828055555556;46.4961388888889;900;"Westliches Mittelland";5;1961;2020;59;1;2014;2020;6;1;FALSE
"Lorzentobel";"LOT";NA;2684590.813;1226109.838;8.55463055555555;47.1805305555556;536;"Zentrales Mittelland";4;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Lausanne";"LSN";NA;2538975.596;1153256.42;6.64326666666667;46.5278194444444;601;"Westliches Mittelland";5;1961;2020;60;0;2013;2020;7;1;FALSE
"Lauterbrunnen";"LTB";NA;2635851.141;1160290.616;7.90646388888889;46.5929166666667;815;"Westlicher Alpennordhang";8;1961;2020;60;0;2015;2020;5;1;FALSE
"Lugano";"LUG";"6770";2717874.082;1095882.987;8.96032222222222;46.0042166666667;273;"Alpensüdseite";12;1961;2020;60;0;1982;2021;40;0;TRUE
"Lungern";"LUN";NA;2655275.511;1181799.784;8.16251388888889;46.7850722222222;740;"Zentraler Alpennordhang";7;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Luthern";"LUT";NA;2636465.492;1212020.044;7.91861111111111;47.0582;767;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Luzern";"LUZ";"6650";2665544.624;1209849.546;8.30102222222222;47.0364388888889;454.32;"Zentrales Mittelland";4;1961;2020;60;0;1982;2021;40;0;TRUE
"Martigny";"MAB";NA;2570919.254;1106546.231;7.06251666666667;46.1097888888889;461;"Wallis";10;1961;2020;40;20;2016;2020;4;1;FALSE
"Morges";"MAC";NA;2528808.535;1152121.585;6.51093888888889;46.5166083333333;374;"Westliches Mittelland";5;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Madiswil";"MAD";NA;2629396.6;1223378.4;7.82630555555556;47.1607166666667;663;"Zentrales Mittelland";4;1973;2020;48;0;NA;NA;NA;NA;FALSE
"Magadino / Cadenazzo";"MAG";"6762";2715479.978;1113160.824;8.93367222222222;46.160025;203.2;"Alpensüdseite";12;1961;2020;60;0;1982;2021;40;0;TRUE
"Mathod";"MAH";"06618";2533457.713;1176567.596;6.56798333333333;46.7369777777778;435.28;"Westliches Mittelland";5;1992;2020;27;2;1993;2021;28;1;TRUE
"Malbun";"MAL";NA;2764702.7;1219184.4;9.60860833333333;47.1031611111111;1610;"Östlicher Alpennordhang";6;1976;2020;45;0;2016;2020;4;1;FALSE
"Les Marécottes";"MAR";"6614";2567374.269;1107577.296;7.01659722222222;46.1189027777778;990;"Wallis";10;1962;2020;59;0;2015;2020;5;1;FALSE
"Marsens";"MAS";"6640";2571757.895;1167316.874;7.06966944444444;46.6564861111111;714.5;"Westlicher Alpennordhang";8;1961;2020;60;0;2014;2020;6;1;FALSE
"Martina";"MAT";NA;2830465.029;1196986.239;10.4630305555556;46.8840111111111;1041;"Engadin";11;1961;2020;60;0;2013;2020;7;1;FALSE
"Marbach, LU";"MBA";NA;2635347.423;1189679.987;7.90215833333333;46.8573111111111;864;"Zentraler Alpennordhang";7;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Moudon";"MDO";NA;2551368.737;1169636.428;6.80305833333333;46.6761777777778;563;"Westliches Mittelland";5;1961;2020;59;1;NA;NA;NA;NA;FALSE
"Meiringen";"MER";"6637";2655844.42;1175929.729;8.16924722222222;46.7322222222222;588.6;"Westlicher Alpennordhang";8;1961;2020;60;0;2011;2020;9;1;FALSE
"Mesocco";"MES";NA;2737851.716;1139822.383;9.23109166666667;46.3955916666667;825;"Alpensüdseite";12;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Mervelier";"MEV";NA;2603884.442;1243975.345;7.49004166666667;47.3466194444444;540;"Westlicher Jura";2;1961;2020;59;1;2014;2020;6;1;FALSE
"Mogelsberg";"MGB";NA;2728219.708;1247006.682;9.13603888888889;47.361425;766;"Nordöstliches Mittelland";3;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Morgins";"MGI";NA;2554719.428;1120680.332;6.85163333333333;46.2360361111111;1340;"Westlicher Alpennordhang";8;1976;2020;45;0;NA;NA;NA;NA;FALSE
"Magglingen";"MGL";NA;2583037.177;1221115.524;7.21502222222222;47.1408;883;"Westlicher Jura";2;1967;2020;54;0;2013;2020;8;0;FALSE
"Le Moléson";"MLS";"06609";2567718.292;1155076.757;7.01775277777778;46.5461972222222;1974.34;"Westlicher Alpennordhang";8;1982;2020;38;1;1983;2021;39;0;TRUE
"Mormont";"MMO";NA;2569727.242;1254223.537;7.03733333333333;47.4381111111111;535;"Östlicher Jura";1;1961;2020;60;0;2015;2020;5;1;FALSE
"Mosen";"MOA";"6644";2660128.6;1232852.1;8.23283055555556;47.2438472222222;453.04;"Zentrales Mittelland";4;1961;2020;60;0;2013;2020;8;0;FALSE
"Montagnier, Bagnes";"MOB";"6615";2583491.368;1102189.068;7.22527222222222;46.0710194444444;839;"Wallis";10;1961;2020;59;1;2017;2020;3;1;FALSE
"Möhlin";"MOE";"6641";2633053.718;1269147.419;7.87791111111111;47.5721972222222;343;"Östlicher Jura";1;1961;2020;60;0;2010;2020;10;1;FALSE
"Morbio Superiore";"MOS";NA;2723520.178;1080124.473;9.02906666666667;45.8614861111111;594;"Alpensüdseite";12;1975;2020;46;0;NA;NA;NA;NA;FALSE
"Moutier";"MOU";NA;2594939.368;1235698.449;7.37176111111111;47.2721666666667;579;"Westlicher Jura";2;1970;2020;51;0;NA;NA;NA;NA;FALSE
"Mosogno";"MSG";NA;2692802.997;1117049.206;8.64091388888889;46.1985027777778;771;"Alpensüdseite";12;1961;2020;60;0;2015;2020;5;1;FALSE
"Monstein";"MST";NA;2778426.918;1176002.807;9.7724;46.71135;1633;"Nord- und Mittelbünden";9;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Mottec";"MTE";"6716";2614324.424;1110729.94;7.62403333333333;46.1478972222222;1580;"Wallis";10;1974;2020;47;0;2016;2020;5;0;FALSE
"Mühleberg";"MUB";"06636";2587792.895;1202480.046;7.27821666666667;46.9732777777778;479.785;"Zentrales Mittelland";4;1989;2020;32;0;1989;2021;33;0;TRUE
"Mürren";"MUE";NA;2634610.999;1156091.638;7.88996666666667;46.5552111111111;1632;"Westlicher Alpennordhang";8;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Muri, AG";"MUR";NA;2667276.813;1235322.918;8.32760833333333;47.2653805555556;577;"Zentrales Mittelland";4;1961;2020;60;0;2013;2020;7;1;FALSE
"Müstair";"MUS";NA;2831186.063;1169358.053;10.4585194444444;46.6354194444444;1248;"Engadin";11;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Murten";"MUT";NA;2576991.011;1199048.159;7.13643888888889;46.9421194444444;433;"Westliches Mittelland";5;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Montana";"MVE";"6724";2601708.754;1127488.92;7.46081388888889;46.2988055555556;1422.86;"Wallis";10;1961;2020;60;0;1982;2021;40;0;TRUE
"Napf";"NAP";"6639";2638137.452;1206079.008;7.94011666666667;47.0046666666667;1403.98;"Zentraler Alpennordhang";7;1979;2020;42;0;1982;2021;40;0;TRUE
"Nesselboden";"NEB";NA;2605295.314;1232697.362;7.50858055555556;47.2451694444444;1055;"Westlicher Jura";2;1974;2020;42;5;2014;2020;6;1;FALSE
"Neuchâtel";"NEU";"6604";2563086.694;1205559.993;6.95329722222222;47.0000666666667;485;"Westliches Mittelland";5;1961;2020;60;0;1982;2021;40;0;TRUE
"Niederneunforn";"NIE";NA;2700861.009;1272509.715;8.7797;47.5955194444444;440;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Obstalden";"OBD";NA;2730891.794;1219536.74;9.16340833333333;47.1138777777778;689;"Östlicher Alpennordhang";6;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Oberiberg";"OBI";NA;2701841.715;1210463.813;8.77865555555556;47.0373833333333;1075;"Zentraler Alpennordhang";7;1961;2020;60;0;2016;2020;4;1;FALSE
"Ehrendingen";"OED";NA;2667833;1262320;8.33904722222222;47.508125;428;"Nordöstliches Mittelland";3;1976;2020;45;0;2014;2020;6;1;FALSE
"Olivone";"OLI";NA;2714903.531;1154143.58;8.93633611111111;46.5287194444444;890;"Alpensüdseite";12;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Opfikon";"OPF";NA;2684614.952;1254697.828;8.56033888888889;47.4376333333333;424;"Nordöstliches Mittelland";3;1974;2020;47;0;2016;2020;4;1;FALSE
"Orsières";"ORS";NA;2577021.227;1096695.136;7.14191944444444;46.0214111111111;929;"Wallis";10;1969;2020;52;0;2013;2020;8;0;FALSE
"Orzens";"ORZ";NA;2542134.743;1174815.505;6.68173055555556;46.7220277777778;624;"Westliches Mittelland";5;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Otelfingen";"OTE";NA;2671520.995;1257079.973;8.38715833333333;47.4606111111111;435;"Nordöstliches Mittelland";3;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Locarno / Monti";"OTL";"6760";2704166.702;1114315.875;8.78749444444444;46.1722555555556;366.98;"Alpensüdseite";12;1961;2020;60;0;1982;2021;40;0;TRUE
"Payerne / Ville";"PAV";NA;2561614.831;1187040.229;6.93550555555556;46.8333972222222;447;"Westliches Mittelland";5;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Payerne";"PAY";"6610";2562130.869;1184611.52;6.94246944444444;46.8115805555556;490;"Westliches Mittelland";5;1966;2020;55;0;1982;2021;40;0;TRUE
"Les Ponts-de-Martel";"PDM";NA;2545886.63;1205407.325;6.727175;46.9975138888889;1052;"Westlicher Jura";2;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Pfäffikon, ZH";"PFA";NA;2700555.895;1246927.792;8.76987777777778;47.3655166666667;540;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Pigniu";"PIG";NA;2727950.628;1185714.603;9.11514166666667;46.8102861111111;1325;"Nord- und Mittelbünden";9;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Pilatus";"PIL";"06659";2661904.614;1203410.13;8.25225555555556;46.9788694444444;2105.44;"Zentraler Alpennordhang";7;1981;2020;40;0;1982;2021;39;1;TRUE
"Piotta";"PIO";"6753";2695880.578;1152264.133;8.68803888888889;46.5148111111111;990;"Alpensüdseite";12;1981;2020;40;0;1982;2021;40;0;TRUE
"Plaffeien";"PLF";"06628";2586828.174;1177406.56;7.26626388888889;46.7477166666667;1042.49;"Westlicher Alpennordhang";8;1989;2020;31;1;1990;2021;32;0;TRUE
"Pontresina";"PON";NA;2787950;1153832.3;9.887825;46.5093944444444;1787;"Engadin";11;1973;2020;48;0;NA;NA;NA;NA;FALSE
"Ponte Tresa";"POT";NA;2710110.026;1091628.922;8.85912222222222;45.9672666666667;274;"Alpensüdseite";12;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Würenlingen / PSI";"PSI";"06647";2659356.299;1265380.996;8.22694444444444;47.536475;334;"Nordöstliches Mittelland";3;1992;2020;28;1;1993;2021;29;0;TRUE
"Punt la Drossa";"PUD";NA;2810567.023;1170637.953;10.19;46.6537472222222;1713;"Engadin";11;1975;2020;46;0;NA;NA;NA;NA;FALSE
"Pully";"PUY";"6711";2540819.05;1151510.606;6.66751666666667;46.5122833333333;455.61;"Westliches Mittelland";5;1962;2020;59;0;1982;2021;40;0;TRUE
"Bad Ragaz";"RAG";"6686";2756911.098;1209350.657;9.50259444444444;47.0166305555556;496.5;"Nord- und Mittelbünden";9;1961;2020;59;1;2012;2020;8;1;FALSE
"Reigoldswil";"REG";NA;2617700.478;1249870.359;7.67310833333333;47.3994138888889;602;"Östlicher Jura";1;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Zürich / Affoltern";"REH";"6664";2681433.058;1253547.992;8.51795277777778;47.4276944444444;443.53;"Nordöstliches Mittelland";3;1962;2020;59;0;1982;2021;40;0;TRUE
"Rempen";"REM";NA;2710610.774;1221849.824;8.89679722222222;47.1383777777778;650;"Östlicher Alpennordhang";6;1970;2020;51;0;2016;2020;4;1;FALSE
"Ricken";"RIC";NA;2722680.765;1235901.763;9.05969722222222;47.2626166666667;836;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Riex";"RIX";NA;2546079.644;1149410.404;6.73630277777778;46.4938333333333;461;"Westliches Mittelland";5;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Poschiavo / Robbia";"ROB";"6794";2801993.958;1136248.611;10.0630305555556;46.3472166666667;1078;"Alpensüdseite";12;1961;2020;60;0;1982;2021;40;0;TRUE
"Robièi";"ROE";"06751";2682587.682;1144090.988;8.51338888888889;46.4430666666667;1898;"Alpensüdseite";12;1991;2020;30;0;1992;2021;30;0;TRUE
"Romont";"ROM";NA;2561475.711;1172622.197;6.93489444444444;46.7036944444444;692;"Westliches Mittelland";5;1961;2020;60;0;2016;2020;4;1;FALSE
"Rothenbrunnen";"ROT";NA;2751220.847;1181299.598;9.41846666666667;46.7657055555556;622;"Nord- und Mittelbünden";9;1971;2020;50;0;2017;2020;4;0;FALSE
"Rünenberg";"RUE";"06645";2633252.636;1253846.08;7.87941388888889;47.4345722222222;611.17;"Östlicher Jura";1;1983;2020;38;0;1983;2021;39;0;TRUE
"Säntis";"SAE";"6680";2744188.01;1234920.31;9.34346944444444;47.2494472222222;2501.47;"Östlicher Alpennordhang";6;1961;2020;60;0;1982;2021;40;0;TRUE
"Sattel, SZ";"SAG";"6662";2691000.04;1215145.222;8.63696666666667;47.0810638888889;790.1;"Zentraler Alpennordhang";7;1961;2020;60;0;2014;2020;7;0;FALSE
"Saignelégier";"SAI";NA;2565349.19;1234100.686;6.98085555555556;47.2569055555556;883;"Westlicher Jura";2;1961;2020;60;0;2016;2020;4;1;FALSE
"Samedan";"SAM";"6792";2787250.867;1155684.798;9.87946944444444;46.5262472222222;1708.51;"Engadin";11;1981;2020;40;0;1982;2021;40;0;TRUE
"Safien Platz";"SAP";NA;2743556.771;1171436.524;9.31507777777778;46.6787027777778;1296;"Nord- und Mittelbünden";9;1961;2020;60;0;2017;2020;3;1;FALSE
"Sargans";"SAR";NA;2752065.8;1213348.4;9.44023055555556;47.0537083333333;585;"Nord- und Mittelbünden";9;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Salez / Saxerriet";"SAX";NA;2755558.546;1233373.78;9.49308611111111;47.2329611111111;436;"Östlicher Alpennordhang";6;1962;2020;59;0;2017;2020;4;0;FALSE
"S. Bernardino";"SBE";"6783";2734116.411;1147293.649;9.1847;46.4635416666667;1638.7;"Alpensüdseite";12;1969;2020;52;0;1982;2021;40;0;TRUE
"Stabio";"SBO";"06771";2716048.801;1077971.661;8.93236388888889;45.8434444444444;351.32;"Alpensüdseite";12;1981;2020;39;1;1982;2021;40;0;TRUE
"Schänis";"SCA";NA;2719940.782;1225579.767;9.02075277777778;47.1702972222222;415;"Östlicher Alpennordhang";6;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Scudellate";"SCD";NA;2724253.1;1086841.6;9.04026666666667;45.9217611111111;920;"Alpensüdseite";12;1975;2020;45;1;NA;NA;NA;NA;FALSE
"Schwarzenegg";"SCE";NA;2621687.145;1183859.922;7.72275277777778;46.8055444444444;902;"Westlicher Alpennordhang";8;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Schleitheim";"SCH";NA;2678236.171;1288716.735;8.48177777777778;47.74435;497;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Scuol";"SCU";"6798";2817138.898;1186393.35;10.2832666666667;46.793275;1303.93;"Engadin";11;1961;2020;60;0;1982;2021;40;0;TRUE
"Splügen";"SDO";NA;2744420.815;1157434.553;9.32197222222222;46.5525972222222;1460;"Nord- und Mittelbünden";9;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Sedrun";"SED";NA;2699974.367;1169844.604;8.74519166666667;46.6723361111111;1429;"Nord- und Mittelbünden";9;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Semsales";"SEM";NA;2561108.612;1158427.237;6.93129444444444;46.5759861111111;874;"Westliches Mittelland";5;1970;2020;51;0;NA;NA;NA;NA;FALSE
"Sevelen";"SEV";NA;2755605.616;1221301.77;9.48953888888889;47.1244027777778;457;"Östlicher Alpennordhang";6;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Stiegelschwand";"SGD";NA;2607278.663;1148536.01;7.53343333333333;46.4881;1466;"Westlicher Alpennordhang";8;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Schaffhausen";"SHA";"6620";2688703.866;1282803.38;8.62014166666667;47.6898416666667;438.38;"Nordöstliches Mittelland";3;1961;2020;60;0;1982;2021;40;0;TRUE
"Segl-Maria";"SIA";"6779";2778576.017;1144976.097;9.762325;46.4323305555556;1804;"Engadin";11;1961;2020;60;0;2014;2020;6;1;FALSE
"Siebnen";"SIE";NA;2710821.805;1225537.801;8.90048333333333;47.1715111111111;452;"Nordöstliches Mittelland";3;1962;2020;59;0;2016;2020;4;1;FALSE
"Sihlbrugg";"SIH";NA;2686318.832;1230585.843;8.57828333333333;47.2205611111111;549;"Nordöstliches Mittelland";3;1962;2020;59;0;2015;2020;5;1;FALSE
"Simplon-Dorf";"SIM";"6654";2647682.582;1116339.614;8.05633611111111;46.196825;1465;"Alpensüdseite";12;1962;2020;59;0;2017;2020;4;0;FALSE
"Sion";"SIO";"6720";2591632.818;1118583.841;7.33020277777778;46.21865;482;"Wallis";10;1961;2020;60;0;1982;2021;40;0;TRUE
"Zürich / Fluntern";"SMA";"6660";2685117.872;1248065.637;8.56574166666667;47.377925;555.95;"Nordöstliches Mittelland";3;1961;2020;60;0;1982;2021;40;0;TRUE
"Sta. Maria, Val Müstair";"SMM";"6796";2828862.348;1165579.688;10.4263138888889;46.6022555555556;1386.2;"Engadin";11;1961;2020;60;0;2012;2020;9;0;FALSE
"Seengen";"SNG";NA;2656680.791;1242110.071;8.18846111111111;47.3274194444444;445;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Stans";"SNS";NA;2669015.722;1202411.852;8.34555833333333;46.9691888888889;439;"Zentraler Alpennordhang";7;1977;2020;44;0;NA;NA;NA;NA;FALSE
"Soglio";"SOG";NA;2761393.917;1134473.591;9.53520833333333;46.3422444444444;1086;"Alpensüdseite";12;1961;2020;60;0;2015;2020;5;1;FALSE
"Sempach";"SPA";NA;2657433.8;1220759.971;8.19569722222222;47.135325;532;"Zentrales Mittelland";4;1962;2020;59;0;NA;NA;NA;NA;FALSE
"St. Peterzell";"SPZ";NA;2731250.692;1242139.709;9.174725;47.3170638888889;700;"Östlicher Alpennordhang";6;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Sierre";"SRE";NA;2609137.603;1127458.142;7.55723055555556;46.2984694444444;536;"Wallis";10;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Sarnen";"SRN";NA;2661580.624;1193689.855;8.24668333333333;46.8914694444444;475;"Zentraler Alpennordhang";7;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Starkenbach";"STB";NA;2737313.769;1227575.785;9.25044722222222;47.1848666666667;897;"Östlicher Alpennordhang";6;1961;2020;60;0;2014;2020;6;1;FALSE
"Steckborn";"STE";NA;2715170.009;1280179.593;8.97190277777778;47.6621305555556;399;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
