Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Frosttage (Minimum tiefer als 0 Grad C) / Anzahl / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Payerne	490	2562130 / 1184611	01.1961-12.1990	23.7	18.8	14.6	6.4	0.6	0.0	0.0	0.0	0.1	2.0	12.0	21.1	99.3
Piotta	990	2695880 / 1152264	01.1961-12.1990	29.3	25.9	21.8	9.1	0.8	0.0	0.0	0.0	0.2	3.8	19.2	27.2	137.3
Poschiavo / Robbia	1078	2801993 / 1136248	01.1961-12.1990	29.7	26.9	23.8	10.8	2.1	0.2	0.0	0.0	0.8	7.4	21.5	28.5	151.7
Pully	455	2540819 / 1151510	01.1961-12.1990	14.8	10.9	6.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	3.9	12.8	49.3
Rheinfelden	300	2626970 / 1266320	01.1961-12.1990	23.5	18.6	14.3	5.6	0.8	0.0	0.0	0.0	0.1	1.3	11.9	21.3	97.4
Samedan	1708	2787250 / 1155684	01.1961-12.1990	30.9	28.1	30.7	27.3	18.0	8.4	4.4	5.0	14.3	25.1	29.3	30.6	252.1
Schaffhausen	438	2688703 / 1282803	01.1961-12.1990	22.8	18.6	12.8	3.6	0.2	0.0	0.0	0.0	0.0	1.6	10.9	20.1	90.6
Sion	482	2591632 / 1118583	01.1961-12.1990	23.4	18.2	11.7	2.4	0.2	0.0	0.0	0.0	0.0	3.2	14.9	23.5	97.5
St. Gallen	775	2747865 / 1254587	01.1961-12.1990	24.4	19.9	15.1	7.3	0.5	0.0	0.0	0.0	0.0	1.5	12.6	22.1	103.4
Sta. Maria, Val Müstair	1386	2828862 / 1165579	01.1961-12.1990	29.8	26.9	25.0	13.0	1.7	0.1	0.0	0.0	0.4	6.0	21.4	28.1	152.4
Säntis	2501	2744188 / 1234920	01.1961-12.1990	30.9	28.2	30.5	28.7	23.0	14.0	8.4	7.7	11.6	17.2	27.1	30.4	257.7
Zürich / Fluntern	555	2685117 / 1248065	01.1961-12.1990	22.1	17.4	11.7	3.6	0.1	0.0	0.0	0.0	0.0	0.4	8.9	19.1	83.3
Zürich / Kloten	426	2682711 / 1259338	01.1961-12.1990	25.8	21.6	17.8	7.7	0.9	0.0	0.0	0.0	0.1	2.5	14.2	23.4	114.0

