stn;time;pva200m0;ets150m0;nto000m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;tre005mn;ure200mn
GVE;201709;11.8;41.01;65;170;969.5;27.5;3.9;14.1;0;43.8;75.1;0;177.5;54;2.0;0.7;34.2
GVE;201710;10.4;29.10;50;131;974.8;23.5;0.9;11.8;0;18.0;76.5;0;200.0;67;1.8;-1.5;28.0
GVE;201711;7.2;9.25;74;56;970.1;17.1;-2.8;5.7;1;63.8;77.8;0;74.9;31;2.8;-5.5;37.7
GVE;201712;6.2;3.44;79;34;970.5;10.9;-4.9;2.5;6;133.0;84.0;0;38.7;17;2.7;-8.7;43.8
GVE;201801;7.9;1.62;86;36;969.6;13.7;-1.4;6.0;0;173.5;84.4;0;34.2;14;3.3;-3.4;45.7
GVE;201802;5.1;5.34;81;68;965.2;10.1;-8.9;1.2;15;28.9;73.2;0;60.1;23;3.3;-10.0;28.4
GVE;201803;7.0;17.05;75;118;956.8;15.5;-3.4;5.3;9;105.4;79.2;2;92.9;28;2.8;-8.1;29.1
GVE;201804;9.5;62.58;56;220;965.5;27.5;-1.0;13.3;0;19.0;64.5;0;214.1;58;2.3;-3.0;17.6
GVE;201805;13.1;51.70;66;230;966.7;26.2;6.3;15.5;0;97.5;75.8;0;187.3;44;2.2;3.3;28.2
GVE;201806;15.1;108.45;49;305;968.2;30.8;11.1;19.7;0;93.3;67.7;0;295.7;68;2.9;8.3;25.0
GVE;201807;16.1;136.67;41;304;968.0;33.4;11.3;22.3;0;49.0;63.0;0;334.8;77;2.1;8.3;22.2
GVE;201808;16.4;100.31;48;245;969.9;34.8;8.3;21.7;0;62.5;65.2;0;277.1;70;2.1;4.9;22.6
GVE;201809;13.4;67.28;42;200;972.9;31.4;5.3;17.9;0;22.3;66.8;0;248.8;75;2.3;2.9;18.5
GVE;201810;10.7;28.69;54;114;969.0;23.1;1.8;12.3;0;27.9;75.3;0;172.7;58;2.3;0.0;27.6
GVE;201811;9.0;3.27;88;40;968.1;15.7;-0.7;6.9;6;72.6;89.0;0;27.2;11;1.6;-2.2;64.2
GVE;201812;7.6;2.71;81;34;974.6;14.4;-3.6;4.9;0;112.4;86.0;0;33.9;15;2.3;-5.8;49.5
GVE;201901;5.4;3.43;74;52;969.1;8.0;-7.1;1.8;11;42.6;77.2;0;80.3;33;2.6;-9.7;37.3
GVE;201902;6.0;10.05;44;108;975.6;20.1;-3.7;3.9;3;40.2;76.4;0;168.9;66;1.9;-5.9;24.8
GVE;201903;6.7;41.81;51;159;972.9;19.9;-1.9;8.2;0;57.4;63.6;0;192.8;59;3.7;-4.5;18.6
GVE;201904;8.0;55.47;65;208;964.8;23.8;-0.2;10.3;6;63.1;66.1;0;192.5;52;2.7;-4.0;21.0
GVE;201905;9.6;79.44;58;243;966.7;24.3;-0.2;12.4;0;40.7;67.9;0;223.7;53;3.3;-3.2;18.1
GVE;201906;15.4;105.05;50;284;968.7;35.5;8.2;19.9;0;112.0;67.8;0;285.7;66;2.0;5.7;17.5
GVE;201907;15.9;134.12;48;286;967.7;36.3;12.9;22.6;0;44.4;60.1;0;303.5;70;2.3;9.8;22.8
GVE;201908;16.2;84.71;55;237;969.9;34.4;9.7;20.6;0;60.4;69.1;0;248.3;63;2.1;6.9;20.0
GVE;201909;12.9;56.81;50;183;971.5;29.3;7.1;17.2;0;25.0;67.0;0;201.7;61;2.7;4.4;22.0
GVE;201910;12.4;17.95;72;95;968.8;26.0;4.0;13.2;0;102.2;82.4;0;111.0;37;2.1;1.1;33.3
GVE;201911;8.4;5.31;76;51;958.8;17.1;-1.4;6.3;0;114.1;86.7;0;52.0;21;2.2;-3.4;46.5
GVE;201912;7.4;3.72;77;36;968.4;14.4;-3.5;4.9;0;140.1;84.3;0;52.6;23;2.6;-5.6;46.3
GVE;202001;6.4;3.32;54;56;977.5;14.0;-4.6;3.1;0;28.9;83.5;0;114.4;47;2.2;-7.0;33.7
GVE;202002;7.2;8.65;62;91;973.6;19.9;-3.7;7.1;0;64.0;71.1;0;126.7;47;3.7;-6.3;23.0
GVE;202003;6.9;34.44;57;155;968.5;19.3;-1.8;7.4;0;77.6;66.8;0;183.5;56;3.1;-4.3;25.5
GVE;202004;8.8;76.64;43;235;967.9;24.3;-2.1;13.0;0;37.5;60.7;0;252.1;69;2.1;-5.3;18.5
GVE;202005;11.3;98.06;53;267;969.9;29.3;5.4;15.6;0;78.1;66.5;0;263.2;62;3.2;2.7;16.6
GVE;202006;14.2;79.47;61;251;966.4;30.6;9.0;17.9;0;92.1;71.3;0;209.7;48;2.3;5.2;27.8
GVE;202007;14.6;146.09;41;298;969.7;35.5;11.9;22.2;0;16.9;56.9;0;312.4;72;2.3;8.2;18.5
GVE;202008;15.8;93.60;53;234;967.6;35.2;9.0;21.2;0;93.4;65.8;0;245.3;62;2.1;6.7;19.5
GVE;202009;14.3;52.82;53;184;969.5;29.7;5.2;17.3;0;60.6;73.5;0;210.5;63;2.1;3.1;29.0
GVE;202010;10.2;12.79;81;86;967.0;19.7;1.7;10.3;0;153.3;81.9;0;80.4;27;2.5;-1.0;41.3
GVE;202011;8.5;6.66;67;54;976.2;22.1;-3.8;6.8;0;15.8;85.2;0;74.3;30;1.7;-5.8;40.2
GVE;202012;7.0;3.24;79;36;961.9;13.9;-5.6;3.9;1;75.6;84.9;0;40.9;18;2.2;-7.7;43.8
GVE;202101;6.0;2.18;83;42;964.7;12.4;-6.5;2.3;19;96.1;80.9;1;48.5;20;2.6;-8.6;41.8
GVE;202102;7.0;6.92;65;90;969.8;16.5;-4.8;5.5;5;30.7;76.5;0;100.4;39;2.8;-6.8;35.6
GVE;202103;6.2;42.07;52;174;973.7;21.6;-2.7;6.7;0;36.4;64.7;0;217.3;67;3.2;-5.1;23.8
GVE;202104;6.7;81.54;45;233;968.6;22.6;-4.0;9.4;0;23.1;56.8;0;243.5;66;3.6;-6.8;11.7
GVE;202105;9.5;67.86;66;225;967.1;27.8;1.2;12.3;0;122.2;69.1;0;188.6;44;2.7;-1.7;22.6
GVE;202106;15.7;83.76;57;279;969.5;31.6;9.4;19.9;0;106.3;70.0;0;240.7;56;2.2;6.1;24.3
GVE;202107;16.3;75.45;58;245;967.8;29.2;11.7;19.6;0;132.3;73.6;0;220.3;51;2.4;9.2;30.1
GVE;202108;15.0;80.02;47;235;969.2;32.2;9.3;18.8;0;54.1;70.4;0;249.6;64;2.4;6.3;30.7
GVE;202109;14.6;42.87;60;170;971.2;28.5;6.5;17.2;0;36.7;75.8;0;187.2;57;1.7;3.8;30.6
GVE;202110;10.0;24.54;56;116;971.9;23.5;0.5;10.4;0;80.6;79.4;0;167.3;58;2.1;-1.8;38.8
GVE;202111;7.4;6.38;73;51;968.1;13.6;-5.5;5.2;0;19.4;82.8;0;53.1;22;2.4;-7.7;48.8
GVE;202112;6.8;2.54;84;29;969.2;14.9;-5.4;3.0;6;129.2;87.7;0;34.0;15;1.9;-7.7;51.4
GVE;202201;5.5;3.75;60;59;977.8;16.1;-6.3;2.0;2;27.5;78.1;0;108.0;45;2.8;-8.1;36.0
GVE;202202;6.2;10.23;53;106;974.8;18.2;-4.7;5.1;0;48.9;71.5;0;150.3;61;2.7;-6.7;24.3
GVE;202203;6.3;38.74;47;163;972.4;20.5;-5.2;7.4;0;18.4;62.7;0;207.7;64;1.9;-7.5;15.4
GVE;202204;8.0;65.03;62;211;965.1;22.8;-1.1;10.3;2;54.0;64.9;0;216.9;59;2.9;-4.1;21.1
GVE;202205;12.1;103.78;54;272;969.7;31.5;4.3;17.6;0;12.0;62.4;0;285.8;67;2.7;1.6;22.0
GVE;202206;15.0;114.31;49;276;968.5;35.5;8.1;21.2;0;63.9;62.8;0;268.7;62;2.4;6.2;21.3
GVE;202207;13.9;191.46;30;314;971.4;38.1;12.1;23.6;0;5.0;50.8;0;374.5;86;2.7;9.8;14.3
GVE;202208;15.2;123.54;44;245;967.8;38.3;12.8;22.3;0;48.0;60.0;0;285.4;73;2.3;11.2;18.4
GVE;202209;13.3;47.22;56;173;966.8;29.6;4.5;15.9;0;120.1;73.3;0;179.0;54;2.4;2.7;35.4
GVE;202210;14.0;18.73;63;111;973.2;24.2;7.4;14.7;0;76.8;84.4;0;155.5;54;1.6;4.9;43.7
GVE;202211;9.2;7.35;73;54;968.2;17.8;-0.5;8.2;0;106.5;83.5;0;71.1;29;1.9;-2.2;44.0
GVE;202212;7.4;3.64;80;30;967.1;16.1;-4.6;5.1;7;112.7;81.6;1;39.8;17;2.2;-6.1;47.4
GVE;202301;6.4;2.74;80;36;970.6;16.6;-6.2;3.9;1;70.3;76.3;0;55.4;23;3.1;-7.9;42.3
GVE;202302;5.8;9.71;44;115;977.8;16.6;-6.3;3.8;0;0.5;72.1;0;183.1;74;2.4;-8.4;36.1
GVE;202303;7.3;24.02;72;125;966.0;21.2;-3.5;8.2;0;89.3;67.8;0;126.3;39;3.2;-6.4;14.6
GVE;202304;8.5;40.36;70;174;967.2;23.7;-1.3;9.7;0;51.4;69.9;0;134.9;37;3.0;-4.2;21.7
GVE;202305;11.7;70.27;61;242;968.3;26.0;6.4;15.4;0;18.0;68.2;0;211.4;50;2.8;3.5;27.8
GVE;202306;14.0;131.34;46;283;967.6;32.3;11.0;21.0;0;74.2;58.9;0;297.2;69;2.1;8.8;13.7
GVE;202307;15.1;132.51;50;271;968.1;37.4;10.3;22.6;0;31.7;57.3;0;276.4;64;2.6;8.2;21.0
GVE;202308;14.8;99.78;55;213;968.1;39.3;8.8;22.1;0;69.5;58.5;0;218.1;56;2.4;7.1;18.7
GVE;202309;15.5;63.16;47;192;970.1;31.2;6.6;19.1;0;98.2;71.9;0;259.1;79;1.7;3.4;23.4
GVE;202310;12.2;27.03;63;110;966.1;26.0;3.4;14.0;0;200.2;76.8;0;158.9;55;2.4;0.3;32.6
GVE;202311;8.2;7.81;77;48;964.3;16.0;-3.9;7.1;0;192.2;79.8;0;63.1;26;3.0;-6.6;43.0
GVE;202312;7.4;4.47;72;39;971.1;14.2;-4.1;4.9;0;120.9;83.5;0;75.4;33;2.2;-6.5;34.1
GVE;202401;6.7;2.19;79;44;972.1;15.3;-6.6;3.7;15;103.3;81.6;1;57.8;24;2.7;-8.0;46.1
