stn,year,precip_annual,cluster_pca_h,precip_cluster_mean
ENG,2017,1726.8,3,1386.84
ENG,2018,1450.9,3,1159.18
ENG,2019,1495.2,3,1328.66
ENG,2020,1556.8,3,1295.72
ENG,2021,1679.4,3,1331.58
ENG,2022,1270.7,3,1068.74
ENG,2023,1833.7,3,1474.18
GRH,2000,1945.8999999999999,1,2374.825
GRH,2001,2025.7,1,2311.925
GRH,2002,2180.8,1,2632.3
GRH,2003,1537.8,1,1686.45
GRH,2004,1722.7,1,1884.175
GRH,2005,1731.8,1,1926.875
GRH,2006,1349.9,1,1840.775
GRH,2007,1952.8,1,2244.2000000000003
GRH,2008,1816.7,1,2080.5
GRH,2009,1645.3,1,1801.9
GRH,2010,1709.2,1,1954.45
GRH,2011,1690.7,1,1903.425
GRH,2012,2190.4,1,2327.175
GRH,2013,1673.1,1,1978.65
GRH,2014,1790.1,1,1886.875
GRH,2015,1842.6,1,1806.05
GRH,2016,1729.1,1,1921.375
GRH,2017,2068.1,1,2175.925
GRH,2018,1682.2,1,2026.025
GRH,2019,2297.8,1,2488.475
GRH,2020,1502.1000000000001,1,1664.65
GRH,2021,1976.3,1,2087.7
GRH,2022,1426,1,1513.3000000000002
GRH,2023,2107.8,1,2170.8
GSB,2000,2731,1,2374.825
GSB,2001,2218.9,1,2311.925
GSB,2002,3089.5,1,2632.3
GSB,2003,1945.4,1,1686.45
GSB,2004,2146.6,1,1884.175
GSB,2005,2053.2,1,1926.875
GSB,2006,2044.5,1,1840.775
GSB,2007,2513.3,1,2244.2000000000003
GSB,2008,2319.4,1,2080.5
GSB,2009,1811.4,1,1801.9
GSB,2010,2324.8,1,1954.45
GSB,2011,2243.8,1,1903.425
GSB,2012,2454.6,1,2327.175
GSB,2013,1856.2,1,1978.65
GSB,2014,2185.2,1,1886.875
GSB,2015,2105.5,1,1806.05
GSB,2016,2210.2,1,1921.375
GSB,2017,2001.6,1,2175.925
GSB,2018,2609.7,1,2026.025
GSB,2019,2582.8,1,2488.475
GSB,2020,1280.9,1,1664.65
GSB,2021,1492.7,1,2087.7
GSB,2022,1184.4,1,1513.3000000000002
